ID;Coordenacao;Associacao;Municipio;Interessado;Valor;Objeto;Modalidade;Status;Observacoes;Numero Emenda;SGPE;Data da publicacao;Data do PGTO/Troca;Observacoes da publicacao;Forma de transferencia
544;OESTE;AMAI;ENTRE RIOS;JACIR BINO;R$ 0,00;VEÍCULO PARA SECRETARIA DE AGRICULTURA;DOAÇÕES;PRONTO;VEÍCULO ENTREGUE 23/07/2026;;;;;;
543;MEIO-OESTE;AMPLASC;ZORTÉA;-;R$ 150.000,00;AQUISIÇÃO DE VEÍCULO PARA SAÚDE;TEV 26 2.8mi KATSUMI/JG;PUBLICADO;;;SCC 8475/2026;;;;
542;SERRA;AMURES;URUPEMA;JHENY;R$ 200.000,00;Pavimentação de vias urbanas no Município;TEV 26 2.8mi KATSUMI/JG;AGUARDANDO PORTARIA;;;SCC 8613/2026;;;;
541;LITORAL NORTE;GRANFPOLIS;SÃO JOSÉ;GILMARA;R$ 100.000,00;Aquisição e implantação de sala sensorial para atendimento educacional;TEV 26 2.8mi KATSUMI/JG;AGUARDANDO PORTARIA;;;SCC 3756/2026;;;;
540;LITORAL NORTE;GRANFPOLIS;SÃO JOSÉ;GILMARA;R$ 100.000,00;Aquisição de um veículo automotor destinado à Guarda Municipal;TEV 26 2.8mi KATSUMI/JG;AGUARDANDO PORTARIA;;;SCC 7839/2026;;;;
539;SERRA;AMURES;RIO RUFINO;ADEMAR;R$ 100.000,00;Aquisição de combustível para manutenção das atividades da Secretaria Municipal de Obras;TEV 26 2.8mi KATSUMI/JG;AGUARDANDO PORTARIA;;;SCC 8866/2026;;;;
538;SERRA;AMURES;RIO RUFINO;-;R$ 200.000,00;Custeio de despesas com combustível para a Secretaria Municipal de Obras;TEV 26 2.8mi KATSUMI/JG;AGUARDANDO PORTARIA;;;SCC 8725/2026;;;;
537;SERRA;AMURC;PONTE ALTA DO NORTE;MARIANE CALOMENO;R$ 200.000,00;Aquisição de um Rolo Compactador;TEV 26 2.8mi KATSUMI/JG;PUBLICADO;;;SCC 7076/2026;;;;
536;SERRA;AMURC;PONTE ALTA DO NORTE;MARIANE CALOMENO;R$ 100.000,00;Manutenção das estradas do Município;TEV 26 2.8mi KATSUMI/JG;AGUARDANDO PORTARIA;;;SCC 7045/2026;;;;
535;SERRA;AMURES;LAGES;KATSUMI;R$ 160.000,00;AQUISIÇÃO DE VEÍCULO PARA O CENTRO DE BEM-ESTAR ANIMAL;TEV 26 2.8mi KATSUMI/JG;PUBLICADO;;;SCC 11341/2026;;;;
534;SERRA;AMURC;FREI ROGÉRIO;AMANDA MARIOT;R$ 400.000,00;AQUISIÇÃO DE VAN PARA A SECRETARIA DE TURISMO, CULTURA E ESPORTE;TEV 26 2.8mi KATSUMI/JG;PUBLICADO;;;SCC 8566/2026;;;;
