ID;Coordenacao;Associacao;Municipio;Interessado;Valor;Objeto;Modalidade;Status;Observacoes;Numero Emenda;SGPE;Data da publicacao;Data do PGTO/Troca;Observacoes da publicacao;Forma de transferencia
499;AMUREL;AMUREL;GRAVATAL;CLEI;R$ 300.000,00;APOIO PARA O NATAL NAS ÁGUAS 2026;PATROCÍNIOS;PENDENTE;;;;;;;
498;AMUREL;AMUREL;GRAVATAL;CLEI;R$ 150.000,00;APOIO PARA A 2ª FESTA DAS ORIGENS DE GRAVATAL;PATROCÍNIOS;PENDENTE;;;;;;;
497;AMUREL;AMUREL;TUBARÃO;GELSON BENTO;R$ 100.000,00;CLUBE DE MÃES - Custeio das atividades;TEV 26 7mi JG;AGUARDANDO PORTARIA;;;;;;;
496;AMUREL;AMUREL;TUBARÃO;BARBA;R$ 300.000,00;Investimento em Infraestrutura;TEV 26 7mi JG;AGUARDANDO PORTARIA;;;;;;;
495;AMUREL;AMUREL;TUBARÃO;BIGORNA;R$ 100.000,00;SERTAO DOS CORREAS - Investimento Sede Social;TEV 26 7mi JG;AGUARDANDO PORTARIA;;;;;;;
494;AMUREL;AMUREL;TUBARÃO;TEA;R$ 400.000,00;APAE - Equoterapia e Terapia Ocupacional;TEV 26 7mi JG;AGUARDANDO PORTARIA;;;;;;;
493;AMREC;AMREC;TREVISO;LU POSSOLI;R$ 200.000,00;Construção Capela Mortuária;TEV 26 7mi JG;AGUARDANDO PORTARIA;;;;;;;
492;AMESC;AMESC;SÃO JOÃO DO SUL;FILIPE FARINHA;R$ 250.000,00;TEA - Equoterapia e Terapia Ocupacional;TEV 26 7mi JG;AGUARDANDO PORTARIA;;;;;;;
491;AMUREL;AMUREL;SANGÃO;RAPHA SCREMIN;R$ 200.000,00;TEA - Equoterapia e Terapia Ocupacional;TEV 26 7mi JG;AGUARDANDO PORTARIA;;;;;;;
490;LITORAL NORTE;AMVE;RODEIO;VINO;R$ 150.000,00;Investimento em Infraestrutura;TEV 26 7mi JG;AGUARDANDO PORTARIA;;;;;;;
489;ALTO VALE;AMAVI;PETROLÂNDIA;DÉIO;R$ 100.000,00;CLUBE DE MÃES - Custeio das atividades;TEV 26 7mi JG;AGUARDANDO PORTARIA;;;;;;;
488;AMREC;AMREC;ORLEANS;CRUZETTA;R$ 300.000,00;Compra de veículo para Administração Municipal;TEV 26 7mi JG;AGUARDANDO PORTARIA;;;;;;;
487;AMUREL;AMUREL;LAGUNA;TEA;R$ 350.000,00;APAE - Equoterapia e Terapia Ocupacional;TEV 26 7mi JG;AGUARDANDO PORTARIA;;;;;;;
486;LITORAL NORTE;AMVE;GASPAR;MELATO;R$ 400.000,00;Investimento em Infraestrutura;TEV 26 7mi JG;AGUARDANDO PORTARIA;;;;;;;
485;AMREC;AMREC;FORQUILHINHA;ANA LUCIA;R$ 150.000,00;Pavimentação;TEV 26 7mi JG;AGUARDANDO PORTARIA;;;;;;;
484;AMREC;AMREC;CRICIÚMA;MIRI;R$ 300.000,00;Investimento em Infraestrutura;TEV 26 7mi JG;AGUARDANDO PORTARIA;;;;;;;
483;AMUREL;AMUREL;CAPIVARI DE BAIXO;CAMILO POLICIAL;R$ 300.000,00;Pavimentação;TEV 26 7mi JG;AGUARDANDO PORTARIA;;;;;;;
482;AMUREL;AMUREL;CAPIVARI DE BAIXO;VITINHO;R$ 200.000,00;Melhorias no campo de futebol do bairro ilhotinha, compreendendo a implantação de sistema de iluminação e o fechamento em vidro da sede existente no local;TEV 26 7mi JG;AGUARDANDO PORTARIA;;;;;;;
481;AMUREL;AMUREL;CAPIVARI DE BAIXO;JAPA;R$ 300.000,00;APAE - Compra veículo passageiros;TEV 26 7mi JG;AGUARDANDO PORTARIA;;;;;;;
480;AMUREL;AMUREL;BRAÇO DO NORTE;DUDA;R$ 400.000,00;Pavimentação Rio Amélia;TEV 26 7mi JG;AGUARDANDO PORTARIA;;;;;;;
479;AMUREL;AMUREL;ARMAZÉM;TEA;R$ 100.000,00;APAE - Equoterapia e Terapia Ocupacional;TEV 26 7mi JG;AGUARDANDO PORTARIA;;;;;;;
478;PLANALTO NORTE;AMPLANORTE;IRINEÓPOLIS;FERNANDO CATAPAN;R$ 150.000,00;Aquisição de um veículo para a Secretaria de Assistência Social do município;TEV 26 5mi GOV;AGUARDANDO DOCUMENTAÇÃO;;;;;;;
476;MEIO-OESTE;AMARP;LEBON RÉGIS;MARCELO SPAUTZ;R$ 200.000,00;Fornecimento e Instalação de Piso para o Ginásio Municipal de Esportes;TEV 26 5mi GOV;AGUARDANDO DOCUMENTAÇÃO;;;;;;;
475;LITORAL NORTE;GRANFPOLIS;ANTÔNIO CARLOS;VAGNER;R$ 300.000,00;Solicitação de recursos para aquisição de trator cabinado;TEV 25 10mi GOV;AGUARDANDO DOCUMENTAÇÃO;;;;;;;
474;AMUREL;AMUREL;GRAVATAL;CLEI;R$ 0,00;2 CARROS DE PASSEIO;DOAÇÕES;PRONTO;;;;;;;
473;AMUREL;AMUREL;GRAVATAL;CLEI;R$ 480.000,00;AMBULÂNCIA SAMU - PROGRAMA FEDERAL;OUTRAS TRANSF;PRONTO;;;;;;;
472;AMUREL;AMUREL;SANGÃO;CASTILHO;R$ 0,00;01 KIT DE TRANSPOSIÇÃO DE OBSTÁCULOS A SER INSTALADO NA COMUNIDADE DE MORRO GRANDE;OUTRAS TRANSF;ARQUIVADO;;;;;;;
471;AMUREL;AMUREL;SANGÃO;CASTILHO;R$ 5.900.000,00;GINÁSIO DE ESPORTES;OUTRAS TRANSF;PRONTO;;;;;;;
470;AMUREL;AMUREL;CAPIVARI DE BAIXO;MARCIA;R$ 523.537,16;PAVIMENTAÇÃO ASFÁLTICA NA RUA ANTONIA DE BITTENCOURT BARCELOS - INDUSTRIAL;OUTRAS TRANSF;PAGO PARCIAL;;;;;;;
469;AMUREL;AMUREL;SANGÃO;CASTILHO;R$ 500.000,00;INVESTIMENTO NO SISTEMA VIÁRIO DO MUNICÍPIO;PIX 22 SUPLENTE;PRONTO;;;;;;;
468;AMUREL;AMUREL;RIO FORTUNA;EDEVAN;R$ 600.000,00;PAVIMENTAÇÃO DE TRECHO DA ESTRADA GERAL RIO CAFÉ, NO MUNICÍPIO DE RIO FORTUNA/SC;PIX 22 SUPLENTE;PRONTO;;;;;;;
467;AMUREL;AMUREL;PAULO LOPES;NADIR;R$ 2.300.000,00;CRECHE JOELMA DE BONA;PIX 22 SUPLENTE;PRONTO;;;;;;;
466;AMUREL;AMUREL;PAULO LOPES;NADIR;R$ 600.000,00;REVITALIZAÇÃO GINÁSIO DE ESPORTES E DAS RUAS PORTUGAL E ROZELINDA TEREZINHA DA COSTA SÁ;PIX 22 SUPLENTE;PRONTO;;;;;;;
465;AMUREL;AMUREL;PAULO LOPES;NADIR;R$ 1.000.000,00;PAVIMENTAÇÃO DE DIVERSAS RUAS NO MUNICÍPIO DE PAULO LOPES/SC;PIX 22 SUPLENTE;PRONTO;;;;;;;
464;AMUREL;AMUREL;IMBITUBA;EDUARDO FAUSTINA;R$ 215.000,00;PAVIMENTAÇÃO DA RUA MARGARIDA ALVES DAMÁSIO, IMBITUBA/SC;PIX 22 SUPLENTE;PRONTO;;;;;;;
