"ID","DATA_PUBLICACAO","ANO","TITULO","VEICULO","URL","TIPO_DE_VEICULO","PAUTA_PRINCIPAL","SUBPAUTA","MUNICIPIO","REGIAO","RESUMO","ATUACAO_DE_PEPE_COLLACO","RELEVANCIA","PALAVRAS_CHAVE","PROJETO_OU_OBRA_RELACIONADA","VALOR_RECURSO","CITACAO_DE_PEPE","LINK_VALIDADO","OBSERVACOES"
"1","22/07/2022","2022","Duplicação da SC-370, entre Tubarão a Braço do Norte, volta a ser requerida","Notisul","https://www.notisul.com.br/duplicacao-da-sc-370-entre-tubarao-a-braco-do-norte-volta-a-ser-requerida/","Jornal regional (portal)","INFRAESTRUTURA","SC-370; duplicação; rodovias","Tubarão; Braço do Norte; São Ludgero; Gravatal; Grão-Pará; Rio Fortuna","Sul de SC / AMUREL","Em plenário da Assembleia Legislativa, o parlamentar reforça o pedido de duplicação da SC-370 entre Tubarão e Braço do Norte, apontando a rodovia como eixo essencial de ligação entre litoral, Vale e Planalto Sul.","Autor do requerimento e da manifestação em plenário pela duplicação da SC-370.","ALTA","SC-370; duplicação; rodovia; Amurel","Duplicação da SC-370 (Tubarão a Braço do Norte)","","SIM","SIM","Publicada em julho/2022, durante período em que exercia o mandato como suplente; anterior ao início da legislatura 2023-2026."
"2","22/07/2022","2022","Nova emergência do HNSC é tema de reunião com deputado","Notisul","https://www.notisul.com.br/nova-emergencia-do-hnsc-e-tema-de-reuniao-com-deputado/","Jornal regional (portal)","SAÚDE","Hospital Nossa Senhora da Conceição; emergência","Tubarão","Sul de SC / AMUREL","Reunião entre a direção do Hospital Nossa Senhora da Conceição e o deputado para discutir a viabilização da nova emergência, estimada em R$ 15 milhões, e a situação física e financeira da instituição.","Participou da reunião e assumiu o compromisso de buscar meios de viabilizar a nova emergência do HNSC.","ALTA","HNSC; hospital; emergência; Tubarão","Nova emergência do Hospital Nossa Senhora da Conceição","R$ 15 milhões","SIM","SIM","Publicada em julho/2022, durante período de suplência; anterior ao início da legislatura 2023-2026."
"3","13/09/2022","2022","Confira a entrevista com o candidato a deputado estadual Pepê Collaço (PP)","UNITV","https://unitv.com.br/1/confira-a-entrevista-com-o-candidato-a-deputado-estadual-pepe-collaco-pp/","Emissora de TV regional","PERFIL E ENTREVISTA","Entrevista; perfil; trajetória","Tubarão; Braço do Norte","Sul de SC / AMUREL","Entrevista com o então candidato, que apresenta sua trajetória de vereador, vice-prefeito e prefeito de Tubarão, a passagem pela AGR e a experiência de 30 dias como suplente na Alesc em 2018.","Entrevistado; a matéria é a principal fonte jornalística sobre sua trajetória política anterior ao mandato.","ALTA","entrevista; trajetória; Tubarão; AGR; suplência","","","SIM","SIM","Entrevista eleitoral de 2022, anterior ao mandato; útil como referência biográfica."
"4","15/02/2023","2023","Pepê Collaço apresenta indicação para ensino gratuito acessível também para universidades particulares","Hora Hiper","https://horahiper.com.br/geral/pepe-collaco-apresenta-indicacao-para-ensino-gratuito-acessivel-tambem-para-universidades-particulares-13692","Portal de notícias regional","EDUCAÇÃO","Universidade Gratuita; bolsas; indicação","Tubarão; Capivari de Baixo","Sul de SC / AMUREL","Na tribuna da Alesc, o deputado apresenta indicação para que o programa de ensino gratuito alcance também instituições particulares de ensino superior, encaminhando o pedido ao governador e ao secretário de Educação.","Autor da indicação, que é o assunto central da matéria.","ALTA","Universidade Gratuita; bolsas; ensino superior; indicação","Indicação para ampliar o ensino gratuito a universidades particulares","","SIM","SIM","Primeira manifestação registrada na pauta de educação superior, ainda em 2023."
"5","05/04/2023","2023","Vereadores e representantes da AMA participam do lançamento da Frente Parlamentar em Defesa das Pessoas com Espectro Autista","Rádio Capinzal","https://capinzalfm.com.br/noticia/frente-parlamentar-em-defesa-das-pessoas-com-espectro-autista-e-lancada-na-alesc","Site de rádio","AUTISMO E INCLUSÃO","Frente Parlamentar; lançamento; AMA","Capinzal; Fraiburgo; Anita Garibaldi; Treze Tílias","Meio-Oeste / Estadual","Cobertura do lançamento da Frente Parlamentar em Defesa das Pessoas com Espectro Autista na Alesc, em 4 de abril de 2023, com participação de vereadores e representantes das AMAs do Meio-Oeste.","Autor e coordenador da Frente Parlamentar em Defesa das Pessoas com Espectro Autista, lançada na Alesc.","ALTA","Frente Parlamentar; autismo; TEA; AMA; Alesc","Frente Parlamentar em Defesa das Pessoas com Espectro Autista","","SIM","SIM","Registro externo do marco inicial da bandeira do autismo, em abril de 2023."
"6","01/05/2023","2023","Terminal de cargas é alternativa de desenvolvimento para o Aeroporto de Jaguaruna","Sul Agora","https://sulagora.com.br/geral/terminal-de-cargas-e-alternativa-de-desenvolvimento-para-o-aeroporto-de-jaguaruna-13801","Portal de notícias regional","DESENVOLVIMENTO REGIONAL","Aeroporto Sul; concessão; terminal de cargas","Jaguaruna","Sul de SC / AMUREL","Reportagem defende a inclusão de um terminal de cargas no contrato de concessão do Aeroporto Regional Sul, em Jaguaruna, como alternativa de desenvolvimento para o equipamento.","Defendeu publicamente a inclusão do terminal de cargas na concessão à iniciativa privada e realizou visita técnica ao aeroporto.","ALTA","Aeroporto de Jaguaruna; terminal de cargas; concessão","Concessão do Aeroporto Regional Sul (Jaguaruna)","","NÃO","SIM",""
"7","07/07/2023","2023","Pedras Grandes é incluída na Rota Turística das Águas Termais de SC","Sulinfoco","https://www.sulinfoco.com.br/pedras-grandes-e-incluida-na-rota-turistica-das-aguas-termais-de-sc/","Portal de notícias regional","TURISMO","Rota turística; águas termais; projeto de lei","Pedras Grandes; Gravatal; Santa Rosa de Lima; Tubarão; Santo Amaro da Imperatriz; Águas Mornas; São Bonifácio","Sul de SC / AMUREL e Grande Florianópolis","A aprovação na Assembleia Legislativa do projeto que institui a Rota Turística das Águas Termais abre novo caminho de desenvolvimento para Pedras Grandes. A rota abrange sete municípios, quatro deles na Amurel.","Autor do projeto de lei aprovado na Alesc que institui a Rota Turística das Águas Termais.","ALTA","Rota das Águas Termais; turismo; Pedras Grandes; projeto de lei","Rota Turística das Águas Termais","","NÃO","SIM","Marco inicial da pauta de turismo termal, ainda em 2023."
"8","23/08/2023","2023","Alesc aprova projeto de alteração de limites territoriais entre Imbituba, Laguna e Garopaba","UNITV","https://unitv.com.br/geral/alesc-aprova-projeto-de-alteracao-de-limites-territoriais-entre-imbituba-laguna-e-garopaba/","Emissora de TV regional","PROJETOS DE LEI","Limites municipais; litoral sul","Imbituba; Laguna; Garopaba","Sul de SC / AMUREL e Grande Florianópolis","A Assembleia aprova projeto que altera limites territoriais entre Imbituba e Laguna, ampliado por emenda para incluir também Garopaba.","Relator do projeto; apresentou a emenda que ampliou a proposta para abranger os limites de Garopaba, com base em informação técnica da prefeitura local.","ALTA","limites municipais; Imbituba; Laguna; Garopaba; relatoria","Projeto de alteração de limites territoriais (PL 26/2023)","","NÃO","SIM",""
"9","23/08/2023","2023","Comissão da ALESC acata novos limites entre Imbituba, Laguna e Garopaba; mudanças afetariam Ponta Rasa, Boa Vista, Itapirubá, Rosa e Ouvidor","Portal AHora","https://portalahora.com.br/noticias/comissao-da-alesc-acata-novos-limites-entre-imbituba-laguna-e-garopaba-mudancas-afetariam-ponta-rasa-boa-vista-itapiruba-rosa-e-ouvidor/","Portal de notícias regional","PROJETOS DE LEI","Limites municipais; litoral sul","Imbituba; Laguna; Garopaba","Sul de SC / AMUREL e Grande Florianópolis","A CCJ acata o projeto que redefine os limites entre Imbituba, Laguna e Garopaba, com detalhamento das localidades afetadas: Ponta Rasa, Boa Vista, Itapirubá, Rosa e Ouvidor.","Relator do projeto na CCJ; apresentou a emenda que incluiu as alterações no limite de Garopaba com base em informação técnica da prefeitura.","ALTA","limites municipais; Imbituba; Laguna; Garopaba; CCJ; relatoria","Projeto de alteração de limites territoriais (PL 26/2023)","","SIM","SIM",""
"10","29/08/2023","2023","Projeto que garante escolha dos pais sobre atividades de gênero na escola avança em SC","ACI Digital","https://www.acidigital.com/noticia/56025/projeto-que-garante-escolha-dos-pais-sobre-atividades-de-genero-na-escola-avanca-em-sc","Portal nacional","PROJETOS DE LEI","Educação; relatoria na CCJ","Santa Catarina","Santa Catarina / Estadual","Projeto que garante aos pais a escolha sobre a participação dos filhos em atividades escolares relacionadas a gênero avança na Alesc, com parecer do relator sustentando a convencionalidade da proposta.","Relator do projeto de lei na Assembleia Legislativa; fundamentou o parecer na Convenção Interamericana de Direitos Humanos.","ALTA","relatoria; educação; CCJ; projeto de lei","Projeto de lei sobre atividades escolares e gênero","Multas de R$ 1.000 a R$ 10.000 previstas no projeto","SIM","SIM","Repercussão nacional de uma relatoria de 2023; pauta sensível."
