id,nome,campaign_id,campanha,adset_id,objetivo,status,gasto_brl,impressoes,alcance,cliques,cpm_brl,ctr_pct,engajamento,video_plays
120238311838690716,"CAPIVARI DE BAIXO obras[view][INSTAGRAN][R$50,00 15/12/2025",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,120238311838700716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,159.6,40843,25821,776,3.91,1.9,20167,38246
120214124204690716,[ovinocaprinocultura][video view][Região Sul][R$100][INST],120213903594780716,JFJ - [Engajamento][Video View][Aumentar Visualização de video][02/12/24],120214124204700716,OUTCOME_ENGAGEMENT,Not available,150.0,17743,13533,37,8.45,0.21,9566,16486
120239395651890716,"tubarão[view][INSTAGRAN][R$150,00 16/1/2026",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,120239395651880716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,149.94,39125,29628,103,3.83,0.26,21632,35901
120243918868600716,"SERÁ?[view][INSTAGRAN][R$ 150,00 01/05/2026",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,120243918868590716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,149.86,36097,31492,207,4.15,0.57,17266,34934
120242272123340716,"AUTISMO - [ENGAJAMENTO] - INSTAGRAN R$120,00",120242272123350716,CAMP | 2026 | Autismo | Engajamento | SC,120242272123330716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,119.99,26622,14021,135,4.51,0.51,13616,25771
120213903595000716,Video 01,120213903594780716,JFJ - [Engajamento][Video View][Aumentar Visualização de video][02/12/24],120213903594960716,OUTCOME_ENGAGEMENT,Not available,99.98,35226,29055,51,2.84,0.14,22327,33627
120242106312720716,"SERÁ?[view][INSTAGRAN][R$100,0 0 30/03/2026",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,120242106312730716,OUTCOME_ENGAGEMENT,Not available,99.96,31846,26208,184,3.14,0.58,17017,31070
120213929397530716,PODA COM URGENCIA Video 01,120213903594780716,JFJ - [Engajamento][Video View][Aumentar Visualização de video][02/12/24],120213929397540716,OUTCOME_ENGAGEMENT,Not available,99.95,23739,21648,58,4.21,0.24,14111,22625
120214213372890716,[AIRTON[AIRTON SENA][video view][Região Sul][R$100][INST],120213903594780716,JFJ - [Engajamento][Video View][Aumentar Visualização de video][02/12/24],120214213372900716,OUTCOME_ENGAGEMENT,Not available,99.93,36934,34071,105,2.71,0.28,30136,36472
120242625108520716,"SERÁ?[view][INSTAGRAN][R$100,0 0 30/03/2026",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,120242625108530716,OUTCOME_ENGAGEMENT,Not available,99.91,29441,26284,226,3.39,0.77,14722,28552
120243120909210716,"SERÁ?[view][INSTAGRAN][R$100,00 20/04/2026",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,120243120909250716,OUTCOME_ENGAGEMENT,Not available,95.97,25165,24054,136,3.81,0.54,11753,24482
