score,motivos,post,alcance,ctr_pct,engajamento,video_plays,gasto_brl,ad_id
4,alcance-alto;eng-alto;eficiente,,34071,0.28,30136,36472,99.93,120214213372890716
4,alcance-alto;eng-alto;eficiente,SAO MARTINHO CARREGADEIRA [,21653,2.02,12293,31465,70.0,120238735735480716
4,alcance-alto;eng-alto;eficiente,LEITE [,25012,2.27,12743,30443,69.97,120237899120160716
4,alcance-alto;eng-alto;eficiente,GANHOU TERRA [,35475,0.68,29717,35354,69.75,120243057267570716
4,viral-ctr;eng-alto;eficiente,CRIANÇAS NA INTERNET,17222,3.97,14299,17553,50.0,120241209110790716
4,alcance-alto;eng-alto;eficiente,,21179,0.27,10270,21106,50.0,120225416543360716
4,alcance-alto;eng-alto;eficiente,,24802,0.35,14748,25355,50.0,120214409603270716
4,viral-ctr;eng-alto;eficiente,CAPIVARI DE BAIXO [,16286,2.51,13817,19552,49.99,120237899153630716
4,alcance-alto;eng-alto;eficiente,[,22026,0.62,18018,23754,49.74,120215770410970716
3,alcance-alto;eng-alto,CAPIVARI DE BAIXO obras [,25821,1.9,20167,38246,159.6,120238311838690716
3,alcance-alto;eng-alto,tubarão [,29628,0.26,21632,35901,149.94,120239395651890716
3,alcance-alto;eng-alto,SERÁ? [,31492,0.57,17266,34934,149.86,120243918868600716
3,alcance-alto;eng-alto,Video 01,29055,0.14,22327,33627,99.98,120213903595000716
3,alcance-alto;eng-alto,SERÁ? [ 0,26208,0.58,17017,31070,99.96,120242106312720716
3,alcance-alto;eng-alto,PODA COM URGENCIA Video 01,21648,0.24,14111,22625,99.95,120213929397530716
3,alcance-alto;eng-alto,SERÁ? [ 0,26284,0.77,14722,28552,99.91,120242625108520716
3,alcance-alto;eng-alto,SERÁ? [,24054,0.54,11753,24482,95.97,120243120909210716
3,alcance-alto;eng-alto,CAPIVARI DE BAIXO veiculo esp orte [,20525,1.56,14569,25940,70.0,120238648624470716
3,viral-ctr;eng-alto,ITUPORANGA [,15183,3.12,11358,18327,69.97,120243985442680716
3,viral-ctr;eng-alto,SENADOR AMIN,18607,3.06,14937,21339,69.86,120240898834750716
3,viral-ctr;eng-alto,Video View Brasil] [INST,13736,2.64,11352,17216,49.99,120230001029050716
3,viral-ctr;eng-alto,PESCARIA BRAVA,14283,3.8,12422,19332,49.97,120231707777140716
3,viral-ctr;eng-alto,BANCO MASTER,14333,4.84,10913,15722,49.59,120241178276560716
3,viral-ctr;eng-alto,DEMOCARCIA [,9650,4.65,8095,10250,34.98,120234684917090716
2,viral-ctr,TRUMP VENEZUELA,7692,4.95,4129,7926,58.85,120239032388040716
2,eng-alto;eficiente,,16254,0.35,8545,16191,50.0,120223878585900716
2,eng-alto;eficiente,,15992,0.29,11321,16321,50.0,120223585916180716
2,eng-alto;eficiente,[,15106,0.42,9932,15695,50.0,120215581016910716
2,eng-alto;eficiente,,19107,0.24,13149,18897,50.0,120214379190090716
2,eng-alto;eficiente,Video View Brasil] [INST,15056,0.32,9302,15051,49.95,120229513424740716
2,viral-ctr,CLUBE DE MAES [,5514,2.51,4361,6729,49.91,120235788243330716
2,viral-ctr,FLAVIO BOLSONARO,3269,7.95,499,0,49.87,120244305271200716
2,eng-alto;eficiente,AMIN [,16481,1.39,9876,16812,49.87,120243057424430716
2,eng-alto;eficiente,criciuma campo 400 mil,18530,1.78,13032,21529,49.86,120234182071490716
2,viral-ctr,robox],9044,2.61,4067,10142,49.83,120241370360870716
2,eng-alto;eficiente,EKITOl]Video View Brasil] [INST,13846,1.06,9338,13966,45.75,120245001378960716
2,viral-ctr,ENERGIA,5624,2.51,199,0,42.98,120242108411430716
2,viral-ctr,autismo],2835,3.84,193,0,32.9,120242624766520716
2,viral-ctr,BANCO MASTER- PRISÃO MANTIDA],8640,11.33,1043,0,32.9,120241422350940716
2,eng-alto;eficiente,OSCAR,10541,0.11,8158,11272,32.85,120241581752940716
2,viral-ctr,AUTISMO - - INSTAGRAN — Cópia,5227,3.56,241,0,29.92,120242625196990716
2,viral-ctr,7 DE SETEMBRO,2267,4.87,245,0,29.56,120232686826550716
2,viral-ctr,camacho,5831,2.88,3705,6390,28.57,120247804125860716
