ig_media_id,data,tipo,tema,status,motivo,alvo,engajamento,curtidas,comentarios,legenda,permalink
18075219283763864,2025-04-07,FEED,Obras e Entregas,removido,pontual do momento (quem paga a conta),,10718,9868,850,"QUEM PAGA ESSA CONTA SOMOS NÓS!🚨 Precisamos da BR-101 para trabalhar,",https://www.instagram.com/p/DIJkklxuONz/
18141990559370077,2025-01-23,REELS,Cultura e Tradição,aprovado,"2º mais curtido, Tubarão",Tubarão,1302,1209,93,"JUNTOS, FAZENDO HISTÓRIA 🚀👊 Hoje é um dia histórico para a comunidad",https://www.instagram.com/reel/DFL8Pc3OCle/
18000978434934061,2026-04-30,REELS,Obras e Entregas,aprovado,obra/entrega (direcionar p/ cidade),Ituporanga,1228,1201,27,INVESTIMENTO QUE TRANSFORMA 🌟 Uma obra que vai mudar a cara de Itupor,https://www.instagram.com/reel/DXxPuwKhZLj/
17852546892058513,2023-10-07,REELS,Institucional / Agenda,removido,fora de 2025-2026,,1187,1173,14,RIO TUBARÃO ESTÁ EM NÍVEL DE ATENÇÃO! 🚨 A previsão ainda é muita chuv,https://www.instagram.com/reel/CyGrD0YOwKY/
18138537610359356,2024-10-05,REELS,Institucional / Agenda,removido,fora de 2025-2026,,1148,949,199,QUEM É 1️⃣1️⃣ COMENTA SUA CIDADE! ⬇️✅,https://www.instagram.com/reel/DAvw2DXOI4b/
17944149749784128,2024-02-17,REELS,Institucional / Agenda,removido,fora de 2025-2026,,1106,972,134,JOAQUIM SUA IDEIA CHEGOU AQUI! ⬇️ Você está convidado a ir no meu gabi,https://www.instagram.com/reel/C3dYcWAuAHY/
18078836737801140,2025-05-28,REELS,Institucional / Agenda,avaliar,sem regra (revisar),Tubarão,1052,983,69,VIVA TUBARÃO! 🦈 Quem ama nossa cidade compartilha! 🫶,https://www.instagram.com/reel/DKLWa5BIV8r/
18075091364539833,2026-03-29,REELS,Institucional / Agenda,aprovado,o pau que rola (será),Tubarão,1037,872,165,O pau que rola nas redes é que vale a pena ter deputado na região… ser,https://www.instagram.com/reel/DWemlKZkQn7/
18591510112014083,2026-05-28,REELS,Institucional / Agenda,avaliar,sem regra (revisar),Tubarão,1010,989,21,"Feliz aniversário, Tubarão! 💙 São 156 anos de uma cidade cheia de his",https://www.instagram.com/reel/DY3I1OGMHrm/
17952646697270137,2023-02-01,REELS,Institucional / Agenda,removido,fora de 2025-2026,,1008,906,102,Que dia Especial!✨Hoje inicia o nosso mandato de deputado estadual. So,https://www.instagram.com/reel/CoIA_r9DD59/
18067300955362165,2026-05-15,REELS,Institucional / Agenda,aprovado,Morro da Fumaça,Morro da Fumaça,965,946,19,"🏗️ MORRO DA FUMAÇA AVANÇANDO O que hoje é projeto, amanhã será realid",https://www.instagram.com/reel/DYX79IHOOxS/
18111345607678272,2026-02-28,REELS,Atualidades,removido,senador catarinense,,945,918,27,Meu senador é CATARINENSE “DA GEMA!” O melhor senador do Brasil é noss,https://www.instagram.com/reel/DVTrSTMDfG_/
18116672923445457,2025-03-24,FEED,Institucional / Agenda,avaliar,sem regra (revisar),Tubarão,929,909,20,"Há 51 anos, Tubarão enfrentava uma das maiores tragédias da sua histór",https://www.instagram.com/p/DHl9vFapcFw/
17884580595143184,2025-03-31,REELS,Obras e Entregas,aprovado,obra/entrega (direcionar p/ cidade),Tubarão,830,739,91,Sanga do Lageado o asfalto tá chegando! 🛣️ A obra tá ficando capricha,https://www.instagram.com/reel/DH3mbWsOCEL/
17895087366481685,2026-06-28,REELS,Institucional / Agenda,avaliar,sem regra (revisar),,796,764,32,A BARRA DO CAMACHO PRECISA DE SOLUÇÃO! 🌊 O problema da Barra do Camac,https://www.instagram.com/reel/DaIYzmCga4k/
18312960340192285,2024-02-03,REELS,Institucional / Agenda,removido,fora de 2025-2026,,753,650,103,A PESCARIA FOI BOA! 🎣 Mais de 3 milhões de reais foram entregues em r,https://www.instagram.com/reel/C24-ojculcV/
17964107435238392,2023-02-01,FEED,Institucional / Agenda,removido,fora de 2025-2026,,748,704,44,Começamos com o pé direito! 🚀 Nosso time veio em peso prestigiar a po,https://www.instagram.com/p/CoIoqmPPLuP/
18102572197455060,2024-10-29,REELS,Saúde,removido,fora de 2025-2026,,688,539,149,EXAMES RÁPIDOS EM FARMÁCIAS! ✅ Nossa lei já está em vigor e facilita a,https://www.instagram.com/reel/DBuCrSKJaHK/
17888076150485997,2026-05-09,FEED,Atualidades,removido,base de atualidades cai,,652,620,32,AQUI É O BRASIL QUE QUEREMOS! 🇧🇷 #flaviobolsonaro #brasil #santacata,https://www.instagram.com/p/DYGWgb8jdi7/
18042989213318910,2024-10-16,REELS,Institucional / Agenda,removido,fora de 2025-2026,,650,569,81,Garopaba merece sempre mais! 🚀 Mais de 2 milhões foram destinados a d,https://www.instagram.com/reel/DBMi8USSS8w/
17952351299306054,2023-02-10,REELS,Educação,removido,fora de 2025-2026,,644,572,72,UNIVERSIDADE GRATUITA ✅ Luto pelos jovens que sonham em ter uma univer,https://www.instagram.com/reel/Cof7aFQjAC3/
17909652429322575,2026-01-28,REELS,Esporte,removido,esporte sem realização,,642,624,18,⚽️ Investir no esporte é investir no futuro. São R$ 500 mil para o gra,https://www.instagram.com/reel/DUDKUDBDeAN/
