ig_media_id,data,tipo,tema,conexao_pontual,curtidas,comentarios,engajamento,legenda,permalink
18075219283763864,2025-04-07,FEED,Obras/Entregas,,9868,850,10718,"QUEM PAGA ESSA CONTA SOMOS NÓS!🚨 Precisamos da BR-101 para trabalhar,",https://www.instagram.com/p/DIJkklxuONz/
18141990559370077,2025-01-23,REELS,Cultura/Tradicao,,1209,93,1302,"JUNTOS, FAZENDO HISTÓRIA 🚀👊 Hoje é um dia histórico para a comunidad",https://www.instagram.com/reel/DFL8Pc3OCle/
18000978434934061,2026-04-30,REELS,Obras/Entregas,,1201,27,1228,INVESTIMENTO QUE TRANSFORMA 🌟 Uma obra que vai mudar a cara de Itupor,https://www.instagram.com/reel/DXxPuwKhZLj/
17852546892058513,2023-10-07,REELS,Institucional,,1173,14,1187,RIO TUBARÃO ESTÁ EM NÍVEL DE ATENÇÃO! 🚨 A previsão ainda é muita chuv,https://www.instagram.com/reel/CyGrD0YOwKY/
18138537610359356,2024-10-05,REELS,Institucional,,949,199,1148,QUEM É 1️⃣1️⃣ COMENTA SUA CIDADE! ⬇️✅,https://www.instagram.com/reel/DAvw2DXOI4b/
17944149749784128,2024-02-17,REELS,Institucional,,972,134,1106,JOAQUIM SUA IDEIA CHEGOU AQUI! ⬇️ Você está convidado a ir no meu gabi,https://www.instagram.com/reel/C3dYcWAuAHY/
18078836737801140,2025-05-28,REELS,Institucional,sim,983,69,1052,VIVA TUBARÃO! 🦈 Quem ama nossa cidade compartilha! 🫶,https://www.instagram.com/reel/DKLWa5BIV8r/
18075091364539833,2026-03-29,REELS,Institucional,,872,165,1037,O pau que rola nas redes é que vale a pena ter deputado na região… ser,https://www.instagram.com/reel/DWemlKZkQn7/
18591510112014083,2026-05-28,REELS,Institucional,sim,989,21,1010,"Feliz aniversário, Tubarão! 💙 São 156 anos de uma cidade cheia de his",https://www.instagram.com/reel/DY3I1OGMHrm/
17952646697270137,2023-02-01,REELS,Institucional,sim,906,102,1008,Que dia Especial!✨Hoje inicia o nosso mandato de deputado estadual. So,https://www.instagram.com/reel/CoIA_r9DD59/
18067300955362165,2026-05-15,REELS,Institucional,,946,19,965,"🏗️ MORRO DA FUMAÇA AVANÇANDO O que hoje é projeto, amanhã será realid",https://www.instagram.com/reel/DYX79IHOOxS/
18111345607678272,2026-02-28,REELS,Atualidades,,918,27,945,Meu senador é CATARINENSE “DA GEMA!” O melhor senador do Brasil é noss,https://www.instagram.com/reel/DVTrSTMDfG_/
18116672923445457,2025-03-24,FEED,Institucional,sim,909,20,929,"Há 51 anos, Tubarão enfrentava uma das maiores tragédias da sua histór",https://www.instagram.com/p/DHl9vFapcFw/
17884580595143184,2025-03-31,REELS,Obras/Entregas,,739,91,830,Sanga do Lageado o asfalto tá chegando! 🛣️ A obra tá ficando capricha,https://www.instagram.com/reel/DH3mbWsOCEL/
17895087366481685,2026-06-28,REELS,Institucional,,764,32,796,A BARRA DO CAMACHO PRECISA DE SOLUÇÃO! 🌊 O problema da Barra do Camac,https://www.instagram.com/reel/DaIYzmCga4k/
18312960340192285,2024-02-03,REELS,Institucional,,650,103,753,A PESCARIA FOI BOA! 🎣 Mais de 3 milhões de reais foram entregues em r,https://www.instagram.com/reel/C24-ojculcV/
17964107435238392,2023-02-01,FEED,Institucional,sim,704,44,748,Começamos com o pé direito! 🚀 Nosso time veio em peso prestigiar a po,https://www.instagram.com/p/CoIoqmPPLuP/
18102572197455060,2024-10-29,REELS,Saude,,539,149,688,EXAMES RÁPIDOS EM FARMÁCIAS! ✅ Nossa lei já está em vigor e facilita a,https://www.instagram.com/reel/DBuCrSKJaHK/
17888076150485997,2026-05-09,FEED,Atualidades,,620,32,652,AQUI É O BRASIL QUE QUEREMOS! 🇧🇷 #flaviobolsonaro #brasil #santacata,https://www.instagram.com/p/DYGWgb8jdi7/
18042989213318910,2024-10-16,REELS,Institucional,,569,81,650,Garopaba merece sempre mais! 🚀 Mais de 2 milhões foram destinados a d,https://www.instagram.com/reel/DBMi8USSS8w/
17952351299306054,2023-02-10,REELS,Educacao,,572,72,644,UNIVERSIDADE GRATUITA ✅ Luto pelos jovens que sonham em ter uma univer,https://www.instagram.com/reel/Cof7aFQjAC3/
17909652429322575,2026-01-28,REELS,Esporte,,624,18,642,⚽️ Investir no esporte é investir no futuro. São R$ 500 mil para o gra,https://www.instagram.com/reel/DUDKUDBDeAN/
17898516051305004,2026-06-01,REELS,Atualidades,,595,37,632,🇧🇷 O BRASIL PRECISA VOLTAR A ENSINAR VALORES Estamos formando geraçõ,https://www.instagram.com/reel/DZDNYkdgMZL/
18379089121125071,2025-08-17,REELS,Obras/Entregas,,599,22,621,OBRA CONCLUÍDA E VEM MAIS POR AÍ! 🚀 Cheirinho de asfalto novo na estr,https://www.instagram.com/reel/DNdrGY-OXzj/
18083835709674126,2025-05-27,FEED,Institucional,,583,19,602,Reunião produtiva com o Governador @jorginhomello e a bancada do Progr,https://www.instagram.com/p/DKKRzJlujpZ/
18027752008915328,2024-02-27,REELS,Institucional,,517,72,589,"O JOAQUIM FALOU, Tá falado! 😉 A cartilha “Sou diferente, e daí?” Será",https://www.instagram.com/reel/C33lk3ZOl4Q/
17974795391796244,2024-12-20,REELS,Obras/Entregas,,541,32,573,🚒🧑‍🚒 ENTREGAMOS! Um carro novinho pra essa instituição que tanto co,https://www.instagram.com/reel/DD0LmJ7yzp_/
17981802974649158,2024-04-20,REELS,Institucional,,469,104,573,A SELEÇÃO DA BOA POLÍTICA 🇧🇷 Essa taça a gente ergue com orgulho. 🏆,https://www.instagram.com/reel/C5_QOxJOrIU/
17973793952817437,2025-02-11,REELS,Institucional,,518,51,569,🚨 É UM ABSURDO ESSAS FILAS! 💥 A @ccr_oficial tem que nos ouvir! Fila,https://www.instagram.com/reel/DF7j45MunnM/
17920489784962480,2025-04-04,REELS,Obras/Entregas,,506,56,562,"🚧 Promessa feita, promessa cumprida! 💪 Hoje entregamos mais uma obra",https://www.instagram.com/reel/DICkD46J_M5/
18122907250620732,2026-04-20,REELS,Cultura/Tradicao,,549,10,559,TRADIÇÃO QUE SEGUE VIVA 🤠 Não é só um galpão. É história. É identidad,https://www.instagram.com/reel/DXXfaTDgYUU/
17953865129794752,2025-03-23,REELS,Institucional,,507,43,550,Nosso mandato tá chegando aí na sua cidade! 😉 Trabalhando por quem ma,https://www.instagram.com/reel/DHi-0aZOu9b/
18092004025920056,2026-04-17,REELS,Institucional,,487,59,546,NÃO FOI SORTE. FOI TRABALHO 💪 Falar que Santa Catarina “ganhou tudo” ,https://www.instagram.com/reel/DXP619fAG0C/
18035991391477628,2023-05-16,REELS,Cultura/Tradicao,,508,31,539,Uma festa que aquece corações! 🎉 Recebi um convite especial para a 33,https://www.instagram.com/reel/CsUbRVQO5YG/
18038960183257874,2024-11-22,FEED,Seguranca,,522,12,534,MEDALHA🎖️ Agradecemos ao Corpo de Bombeiros Militar de Santa Catarina,https://www.instagram.com/p/DCr44fWy2FJ/
18159003913286904,2023-01-25,FEED,Institucional,,471,60,531,Chegou o dia! Convido você para a cerimônia de posse como deputado est,https://www.instagram.com/p/Cn2poIzuTFH/
