n,conjunto_id,conjunto_nome,status,orcamento_brl,cidade,reel_permalink,ig_media_id,nome_do_anuncio
1,120248619217640716,CONJ | 1 Juntos Fazendo Historia | Tubarao | IG | R50,PAUSED,50.0,Tubarão,https://www.instagram.com/reel/DFL8Pc3OCle/,18141990559370077,AD | 1 Juntos Fazendo Historia | REEL
2,120248619218160716,CONJ | 2 Investimento Que Transforma | Ituporanga | IG | R50,PAUSED,50.0,Ituporanga,https://www.instagram.com/reel/DXxPuwKhZLj/,18000978434934061,AD | 2 Investimento Que Transforma | REEL
3,120248619218600716,CONJ | 3 O Pau Que Rola Nas Redes | Tubarao | IG | R50,PAUSED,50.0,Tubarão,https://www.instagram.com/reel/DWemlKZkQn7/,18075091364539833,AD | 3 O Pau Que Rola Nas Redes | REEL
4,120248619219040716,CONJ | 4 Morro Da Fumaca Avancando | Morro Da Fumaca | IG | R50,PAUSED,50.0,Morro da Fumaça,https://www.instagram.com/reel/DYX79IHOOxS/,18067300955362165,AD | 4 Morro Da Fumaca Avancando | REEL
7,120248619219490716,CONJ | 7 Entrega Que Valoriza Quem Cuida | Nova Veneza | IG | R50,PAUSED,50.0,Nova Veneza,https://www.instagram.com/reel/DUG-karAWrd/,17899687746225672,AD | 7 Entrega Que Valoriza Quem Cuida | REEL
9,120248619220250716,CONJ | 9 Agro Mais Forte | Braco Do Norte | IG | R50,PAUSED,50.0,Braço do Norte,https://www.instagram.com/reel/DOOeN2DDeiD/,18092955907708305,AD | 9 Agro Mais Forte | REEL
10,120248619220780716,CONJ | 10 Paulo Lopes | Paulo Lopes | IG | R50,PAUSED,50.0,Paulo Lopes,https://www.instagram.com/reel/DEpxifCpts_/,18032154944216008,AD | 10 Paulo Lopes | REEL
11,120248619221770716,CONJ | 11 Vinculo Tambem Ensina | Publico Autismo Regiao | IG | R50,PAUSED,50.0,Autismo/SC,https://www.instagram.com/reel/DVzNyB_gEee/,18076342364419956,AD | 11 Vinculo Tambem Ensina | REEL
13,120248619223450716,CONJ | 13 Dados Dos Autistas Em SC | Publico Autismo Regiao | IG | R50,PAUSED,50.0,Autismo/SC,https://www.instagram.com/reel/DKh0aG-RXU5/,17919435150095663,AD | 13 Dados Dos Autistas Em SC | REEL
14,120248619223860716,CONJ | 14 Abrindo Caminho | Tubarao | IG | R50,PAUSED,50.0,Tubarão,https://www.instagram.com/reel/DZnWAjJhOVa/,17863830918633197,AD | 14 Abrindo Caminho | REEL
19,120248619224400716,CONJ | 19 Nos Chegamos Em Gravatal | Gravatal | IG | R50,PAUSED,50.0,Gravatal,https://www.instagram.com/reel/DHwakBvpDEZ/,18295538335172330,AD | 19 Nos Chegamos Em Gravatal | REEL
23,120248619224920716,CONJ | 23 Mais Uma Obra Pra Valer | Tubarao | IG | R50,PAUSED,50.0,Tubarão,https://www.instagram.com/reel/DPEqxayjGmo/,17943495918054730,AD | 23 Mais Uma Obra Pra Valer | REEL
24,120248619225440716,CONJ | 24 Resultado Que Aparece | Ituporanga | IG | R50,PAUSED,50.0,Ituporanga,https://www.instagram.com/reel/DXPmqjdkRsv/,18113246866764507,AD | 24 Resultado Que Aparece | REEL
30,120248619226040716,CONJ | 30 Mais Pavimentacao Mais Qualidade De Vida | A Confirmar | IG | R50,PAUSED,50.0,A confirmar,https://www.instagram.com/reel/DW9LIjfgFbP/,18088439765520125,AD | 30 Mais Pavimentacao Mais Qualidade De Vida | REEL
31,120248619227570716,CONJ | 31 Seguranca Que Fica Para O Futuro | A Confirmar | IG | R50,PAUSED,50.0,A confirmar,https://www.instagram.com/reel/DZayE7cAE8M/,18080731637642171,AD | 31 Seguranca Que Fica Para O Futuro | REEL
32,120248619228580716,CONJ | 32 Autismo E Prioridade | Publico Autismo Regiao | IG | R50,PAUSED,50.0,Autismo/SC,https://www.instagram.com/reel/DXKkyJECden/,18168561904411390,AD | 32 Autismo E Prioridade | REEL
33,120248619230570716,CONJ | 33 Desenvolvimento Que Chega Na Ponta | Orleans | IG | R50,PAUSED,50.0,Orleans,https://www.instagram.com/reel/DXU6Z_DAQ_z/,17936072847211722,AD | 33 Desenvolvimento Que Chega Na Ponta | REEL
34,120248619231210716,CONJ | 34 Mais Investimento No Campo | A Confirmar | IG | R50,PAUSED,50.0,A CONFIRMAR,FALTANDO,FALTANDO,AD | 34 Mais Investimento No Campo | REEL
35,120248619231760716,CONJ | 35 Paulo Lopes Faz E Faz Rapido | Paulo Lopes | IG | R50,PAUSED,50.0,A CONFIRMAR,FALTANDO,FALTANDO,AD | 35 Paulo Lopes Faz E Faz Rapido | REEL
36,120248619233110716,CONJ | 36 Carro Novo Para Capivari De Baixo | Capivari De Baixo | IG | R50,PAUSED,50.0,Capivari de Baixo,https://www.instagram.com/reel/DUbUjoyiahu/,18054955535416618,AD | 36 Carro Novo Para Capivari De Baixo | REEL
37,120248619235280716,CONJ | 37 Mais Uma Rua Asfaltada | A Confirmar | IG | R50,PAUSED,50.0,A confirmar,https://www.instagram.com/reel/DOluzWuAPl3/,18095148865659818,AD | 37 Mais Uma Rua Asfaltada | REEL
38,120248619238500716,CONJ | 38 Investimento Que Transforma TEA | Publico Autismo Regiao | IG | R50,PAUSED,50.0,Autismo/SC,https://www.instagram.com/reel/DWlyjIAgJDv/,18094544249017782,AD | 38 Investimento Que Transforma TEA | REEL
39,120248619240400716,CONJ | 39 Pe Na Estrada | Grao Para | IG | R50,PAUSED,50.0,Grão-Pará,https://www.instagram.com/reel/DMsg6UbuqM5/,17912372448156314,AD | 39 Pe Na Estrada | REEL
40,120248619210070716,CONJ | 40 Tubarao-em-obras | Tubarao | IG | R50,PAUSED,50.0,Tubarão,https://www.instagram.com/reel/DallnYmORzx/,18089194139530978,AD | 40 Tubarao-em-obras | REEL
42,120248619246310716,CONJ | 42 Rio Fortuna | Rio Fortuna | IG | R50,PAUSED,50.0,Rio Fortuna,https://www.instagram.com/reel/DFVcfQ7uRFI/,17915058927061181,AD | 42 Rio Fortuna | REEL
44,120248619250540716,CONJ | 44 Obra Que Transforma Vidas Em Icara | Icara | IG | R50,PAUSED,50.0,Içara,https://www.instagram.com/reel/DUVuUh_gCd0/,17905623456185498,AD | 44 Obra Que Transforma Vidas Em Icara | REEL
45,120248619252450716,CONJ | 45 Onde A Dona Alza Falou Ta Falado | Gravatal | IG | R50,PAUSED,50.0,A confirmar,https://www.instagram.com/reel/DY72zyzOl2L/,17864449188629223,AD | 45 Onde A Dona Alza Falou Ta Falado | REEL
48,120248619253530716,CONJ | 48 A Melhor Coisa Que Tem Obra Pronta | Gravatal | IG | R50,PAUSED,50.0,Gravatal,https://www.instagram.com/reel/DTsZKEEgHwo/,17948534988089425,AD | 48 A Melhor Coisa Que Tem Obra Pronta | REEL
49,120248619254920716,CONJ | 49 Rio Fortuna Segue Avancando | Rio Fortuna | IG | R50,PAUSED,50.0,Rio Fortuna,https://www.instagram.com/reel/DT2e9D7gLOL/,18153553147427809,AD | 49 Rio Fortuna Segue Avancando | REEL
52,120248619255510716,CONJ | 52 Mais Qualidade De Vida | Braco Do Norte | IG | R50,PAUSED,50.0,Braço do Norte,https://www.instagram.com/reel/DYpVlVOAFlj/,17897901354450290,AD | 52 Mais Qualidade De Vida | REEL
53,120248619256590716,CONJ | 53 Autismo E Prioridade AMA Rio Rufino | Rio Rufino | IG | R50,PAUSED,50.0,Rio Rufino,https://www.instagram.com/reel/DV6jzptANP3/,18110509987759914,AD | 53 Autismo E Prioridade AMA Rio Rufino | REEL
55,120248619257400716,CONJ | 55 Autismo | Publico Autismo Regiao | IG | R50,PAUSED,50.0,Autismo/SC,https://www.instagram.com/reel/DXFXtFciYUT/,17933329614215534,AD | 55 Autismo | REEL
56,120248619258240716,CONJ | 56 Investimento Que Chega Na Ponta | Presidente Nereu | IG | R50,PAUSED,50.0,Presidente Nereu,https://www.instagram.com/reel/DXfY_UJADqI/,18101691781783751,AD | 56 Investimento Que Chega Na Ponta | REEL
