id,nome,campaign_id,campanha,otimizacao,status,gasto_brl,impressoes,alcance,cliques,cpm_brl,ctr_pct,orcamento_diario_brl,orcamento_total_brl
120238311838700716,"CAPIVARI DE BAIXO veiculo esporte[view][INSTAGRAN][R$50,00 23/12/2025",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,THRUPLAY,CAMPAIGN_PAUSED,159.6,40843,25821,776,3.91,1.9,20.0,0.0
120214124204700716,[ovinocaprinocultura][video view][Região Sul][R$100][INST],120213903594780716,JFJ - [Engajamento][Video View][Aumentar Visualização de video][02/12/24],THRUPLAY,Not available,150.0,17743,13533,37,8.45,0.21,0.0,0.0
120239395651880716,"tubarão[view][INSTAGRAN][R$150,00 16/1/2026",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,THRUPLAY,CAMPAIGN_PAUSED,149.94,39125,29628,103,3.83,0.26,0.0,150.0
120243918868590716,"SERÁ?[view][INSTAGRAN][R$150,00 03/05/2026",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,THRUPLAY,CAMPAIGN_PAUSED,149.86,36097,31492,207,4.15,0.57,0.0,150.0
120242272123330716,"AUTISMO - [ENGAJAMENTO] - INSTAGRAN R$120,00",120242272123350716,CAMP | 2026 | Autismo | Engajamento | SC,POST_ENGAGEMENT,CAMPAIGN_PAUSED,119.99,26622,14021,135,4.51,0.51,0.0,120.0
120213903594960716,[no anuncio][video view][regiao sul][R$100][IG],120213903594780716,JFJ - [Engajamento][Video View][Aumentar Visualização de video][02/12/24],THRUPLAY,Not available,99.98,35226,29055,51,2.84,0.14,0.0,0.0
120242106312730716,"SERÁ?[view][INSTAGRAN][R$100,00 30/03/2026",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,THRUPLAY,Not available,99.96,31846,26208,184,3.14,0.58,0.0,0.0
120213929397540716,PODA COM URGÊNCIA - [no anuncio][video view][regiao sul][R$100][IG] — Cópia,120213903594780716,JFJ - [Engajamento][Video View][Aumentar Visualização de video][02/12/24],THRUPLAY,Not available,99.95,23739,21648,58,4.21,0.24,0.0,0.0
120214213372900716,[AIRTON[AIRTON SENA][video view][Região Sul][R$100][INST],120213903594780716,JFJ - [Engajamento][Video View][Aumentar Visualização de video][02/12/24],THRUPLAY,Not available,99.93,36934,34071,105,2.71,0.28,0.0,0.0
120242625108530716,"SERÁ?[view][INSTAGRAN][R$100,00 10/04/2026",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,THRUPLAY,Not available,99.91,29441,26284,226,3.39,0.77,0.0,0.0
120243120909250716,"SERÁ?[view][INSTAGRAN][R$100,00 20/04/2026",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,THRUPLAY,Not available,95.97,25165,24054,136,3.81,0.54,0.0,0.0
120245142304620716,"SERA[view][INSTAGRAN][R$100,00 22/05/2026",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,THRUPLAY,Not available,72.45,19507,19144,72,3.71,0.37,0.0,0.0
120241878808350716,"ENERGIA SOLAR [ VISUALIZAÇÃO INSTA] [26-03-2926 R$ 70,00",120240075562730716,CAMP | 2026 | Institucional | Engajamento | SC,POST_ENGAGEMENT,Not available,70.0,14894,9034,104,4.7,0.7,0.0,0.0
120239359676140716,"GRAVATAL[view][INSTAGRAN][R$50,00 15/1/2026",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,THRUPLAY,CAMPAIGN_PAUSED,70.0,17785,14854,49,3.94,0.28,0.0,70.0
120238735735470716,"SAO MARTINHO CARREGADEIRA[view][INSTAGRAN][R$50,00 23/12/2025 — Cópia — Cópia",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,THRUPLAY,CAMPAIGN_PAUSED,70.0,33242,21653,673,2.11,2.02,0.0,70.0
120238648624480716,"CAPIVARI DE BAIXO veiculo esporte[view][INSTAGRAN][R$50,00 23/12/2025 — Cópia",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,THRUPLAY,CAMPAIGN_PAUSED,70.0,27306,20525,427,2.56,1.56,0.0,70.0
120243986394020716,"BRACO DO NORTE[ VISUALIZAÇÃO INSTA] [04-05-2026 R$ 70,00",120240075562730716,CAMP | 2026 | Institucional | Engajamento | SC,THRUPLAY,CAMPAIGN_PAUSED,69.99,16333,13901,35,4.29,0.21,0.0,70.0
120243639227780716,"BRACO DO NORTE[ VISUALIZAÇÃO INSTA] [28-04-2026 R$ 70,00",120240075562730716,CAMP | 2026 | Institucional | Engajamento | SC,THRUPLAY,CAMPAIGN_PAUSED,69.99,16213,13714,30,4.32,0.19,0.0,70.0
120243357532030716,"PRESIDENTE NEREU[ VISUALIZAÇÃO INSTA] [24-04-2026 R$ 70,00",120240075562730716,CAMP | 2026 | Institucional | Engajamento | SC,THRUPLAY,CAMPAIGN_PAUSED,69.99,18256,13881,298,3.83,1.63,0.0,70.0
120245001290680716,"MORRO DA FUMAÇA[ VISUALIZAÇÃO INSTA] 20-05-2026 R$ 70,00",120240075562730716,CAMP | 2026 | Institucional | Engajamento | SC,THRUPLAY,CAMPAIGN_PAUSED,69.98,19135,15463,122,3.66,0.64,0.0,70.0
120244684683490716,"TUBARÃO AMANECEU DIFERENTE[view][INSTAGRAN][R$70,00 15/05/2026",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,THRUPLAY,CAMPAIGN_PAUSED,69.97,14630,11052,135,4.78,0.92,0.0,70.0
120243985442670716,"ITUPORANGA[ VISUALIZAÇÃO INSTA] [04-05-2026 R$ 70,00",120240075562730716,CAMP | 2026 | Institucional | Engajamento | SC,POST_ENGAGEMENT,CAMPAIGN_PAUSED,69.97,19015,15183,594,3.68,3.12,0.0,70.0
120237899120170716,"LEITE[view][INSTAGRAN][R$70,00 07/12/2025",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,THRUPLAY,CAMPAIGN_PAUSED,69.97,31714,25012,719,2.21,2.27,0.0,70.0
120244304728460716,"CAPIVARI DE BAIXO[ VISUALIZAÇÃO INSTA] [09-05-2026 R$ 70,00",120240075562730716,CAMP | 2026 | Institucional | Engajamento | SC,THRUPLAY,CAMPAIGN_PAUSED,69.96,13233,10692,154,5.29,1.16,0.0,70.0
120214005958280716,[SENSO AUT][video view][Região Sul][R$50][INST],120213903594780716,JFJ - [Engajamento][Video View][Aumentar Visualização de video][02/12/24],THRUPLAY,Not available,69.95,8013,7024,17,8.73,0.21,0.0,0.0
120243057190970716,"ITUPORANGA[ VISUALIZAÇÃO INSTA] [19-04-2026 R$ 70,00",120240075562730716,CAMP | 2026 | Institucional | Engajamento | SC,POST_ENGAGEMENT,CAMPAIGN_PAUSED,69.94,21166,17339,323,3.3,1.53,0.0,70.0
120242757736850716,"WITMARSUN[ VISUALIZAÇÃO INSTA] [13-04-2926 R$ 70,00 — Cópia",120240075562730716,CAMP | 2026 | Institucional | Engajamento | SC,POST_ENGAGEMENT,Not available,69.93,21723,15692,44,3.22,0.2,0.0,0.0
