n,adset_id,adset_name,orcamento_brl,ig_media_id,permalink,geo
1,120248617624970716,"01 JUNTOS, FAZENDO HISTORIA[ALCANCE INSTA][TUBARAO][R$50,00 26/07/2026]",50.0,18141990559370077,https://www.instagram.com/reel/DFL8Pc3OCle/,Tubarão
2,120248617627190716,"02 INVESTIMENTO QUE TRANSFORMA[ALCANCE INSTA][ITUPORANGA][R$50,00 26/07/2026]",50.0,18000978434934061,https://www.instagram.com/reel/DXxPuwKhZLj/,Ituporanga
3,120248617629280716,"03 O PAU QUE ROLA NAS REDES[ALCANCE INSTA][TUBARAO][R$50,00 26/07/2026]",50.0,18075091364539833,https://www.instagram.com/reel/DWemlKZkQn7/,Tubarão
4,120248617637550716,"04 MORRO DA FUMACA AVANCANDO[ALCANCE INSTA][MORRO DA FUMACA][R$50,00 26/07/2026]",50.0,18067300955362165,https://www.instagram.com/reel/DYX79IHOOxS/,Morro da Fumaça
7,120248617640850716,"07 ENTREGA QUE VALORIZA QUEM CUIDA[ALCANCE INSTA][NOVA VENEZA][R$50,00 26/07/2026]",50.0,17899687746225672,https://www.instagram.com/reel/DUG-karAWrd/,Nova Veneza
9,120248617645440716,"09 AGRO MAIS FORTE[ALCANCE INSTA][BRACO DO NORTE][R$50,00 26/07/2026]",50.0,18092955907708305,https://www.instagram.com/reel/DOOeN2DDeiD/,Braço do Norte
10,120248617650390716,"10 PAULO LOPES[ALCANCE INSTA][PAULO LOPES][R$50,00 26/07/2026]",50.0,18032154944216008,https://www.instagram.com/reel/DEpxifCpts_/,Paulo Lopes
11,120248617653570716,"11 VINCULO TAMBEM ENSINA[ALCANCE INSTA][PUBLICO AUTISMO - REGIAO][R$50,00 26/07/2026]",50.0,18076342364419956,https://www.instagram.com/reel/DVzNyB_gEee/,Autismo/SC
13,120248617655670716,"13 DADOS DOS AUTISTAS EM SC[ALCANCE INSTA][PUBLICO AUTISMO - REGIAO][R$50,00 26/07/2026]",50.0,17919435150095663,https://www.instagram.com/reel/DKh0aG-RXU5/,Autismo/SC
14,120248617662650716,"14 ABRINDO CAMINHO[ALCANCE INSTA][TUBARAO][R$50,00 26/07/2026]",50.0,17863830918633197,https://www.instagram.com/reel/DZnWAjJhOVa/,Tubarão
