fonte,ig_media_id,object_story_id,tipo,data,permalink,legenda
"instagram","18611403190012312","","REELS","2026-07-16T20:31:55+0000","https://www.instagram.com/reel/Da3gGS_PaCw/","Mais um avanço para a saúde de Painel! 🏥 ✅ Novo aparelho de ultrasson"
"instagram","18051804830535729","","FEED","2026-07-15T20:50:25+0000","https://www.instagram.com/p/Da09rj3oIHb/","🚧 A SOLUÇÃO QUE O SUL DE SC PRECISA A interdição da Ponte Anita Garib"
"instagram","18078590954676013","","REELS","2026-07-14T20:56:01+0000","https://www.instagram.com/reel/DayZRJateKd/","INFRAESTRUTURA É PRIORIDADE! 🚧 Santa Catarina cresce, produz e gera o"
"instagram","17946235716035830","","FEED","2026-07-13T23:27:03+0000","https://www.instagram.com/p/DawFfJXNj--/","O TRABALHO NÃO PARA NEM NO ANIVERSÁRIO! 🎉 Hoje é dia de comemorar mai"
"instagram","18179658466375096","","FEED","2026-07-10T21:11:28+0000","https://www.instagram.com/p/DaoHcxAJg_X/","Vai uma cuca quentinha aí? 😋 A FEAGRO já está movimentando Braço do N"
"instagram","18089194139530978","","REELS","2026-07-09T21:35:51+0000","https://www.instagram.com/reel/DallnYmORzx/","TUBARÃO EM OBRAS 🚧 Trabalho duro, resultado aparecendo e obras saindo"
"instagram","17973431757097511","","REELS","2026-07-06T20:54:07+0000","https://www.instagram.com/reel/Dadyg4DpJ2-/","UNIFORME É DIGNIDADE! 🧥📚 Em Painel, tivemos a alegria de participar "
"instagram","18183538927399764","","REELS","2026-07-06T00:50:04+0000","https://www.instagram.com/reel/Dabo4HKt1Yn/","DOI VER ISSO… 🇧🇷💔 Hoje, a eliminação para a Noruega encerrou a camp"
"instagram","17874414273528951","","FEED","2026-07-05T18:44:41+0000","https://www.instagram.com/p/Daa_GhDJKyY/","NOSSA MANU, 12 ANOS! 🎉💙 Gratidão por celebrar a tua vida minha filha"
"instagram","18599032210057653","","REELS","2026-07-05T13:19:24+0000","https://www.instagram.com/reel/DaaZdM-AVlQ/","É GOLAÇO PARA MORRO DA FUMAÇA! ⚽🇧🇷 Em dia de jogo da Seleção, quem t"
