ig_media_id,data,tipo,curtidas,comentarios,engajamento,autismo,legenda,permalink
18611403190012312,2026-07-16,REELS,30,2,32,,Mais um avanço para a saúde de Painel! 🏥 ✅ Novo aparel,https://www.instagram.com/reel/Da3gGS_PaCw/
18051804830535729,2026-07-15,FEED,93,9,102,,🚧 A SOLUÇÃO QUE O SUL DE SC PRECISA A interdição da Po,https://www.instagram.com/p/Da09rj3oIHb/
18078590954676013,2026-07-14,REELS,165,28,193,,"INFRAESTRUTURA É PRIORIDADE! 🚧 Santa Catarina cresce, ",https://www.instagram.com/reel/DayZRJateKd/
17946235716035830,2026-07-13,FEED,108,19,127,,O TRABALHO NÃO PARA NEM NO ANIVERSÁRIO! 🎉 Hoje é dia d,https://www.instagram.com/p/DawFfJXNj--/
18179658466375096,2026-07-10,FEED,101,2,103,,Vai uma cuca quentinha aí? 😋 A FEAGRO já está moviment,https://www.instagram.com/p/DaoHcxAJg_X/
18089194139530978,2026-07-09,REELS,106,24,130,,"TUBARÃO EM OBRAS 🚧 Trabalho duro, resultado aparecendo",https://www.instagram.com/reel/DallnYmORzx/
17973431757097511,2026-07-06,REELS,96,16,112,,"UNIFORME É DIGNIDADE! 🧥📚 Em Painel, tivemos a alegria",https://www.instagram.com/reel/Dadyg4DpJ2-/
18183538927399764,2026-07-06,REELS,0,0,0,,"DOI VER ISSO… 🇧🇷💔 Hoje, a eliminação para a Noruega ",https://www.instagram.com/reel/Dabo4HKt1Yn/
17874414273528951,2026-07-05,FEED,232,14,246,,"NOSSA MANU, 12 ANOS! 🎉💙 Gratidão por celebrar a tua v",https://www.instagram.com/p/Daa_GhDJKyY/
18599032210057653,2026-07-05,REELS,162,21,183,,É GOLAÇO PARA MORRO DA FUMAÇA! ⚽🇧🇷 Em dia de jogo da ,https://www.instagram.com/reel/DaaZdM-AVlQ/
18021265124687162,2026-07-02,FEED,79,12,91,,"🏆 COMO NA COPA, ANTES DA DECISÃO, TEM A CLASSIFICAÇÃO.",https://www.instagram.com/p/DaTYV77iV-C/
18094428545344007,2026-06-30,REELS,182,8,190,,EM CLIMA DE COPA O ESPORTE MERECE ESTRUTURA! ⚽🔥 Quem v,https://www.instagram.com/reel/DaOGeN9pl4L/
17876025393505372,2026-06-29,FEED,139,3,142,,Rumo às oitavas com a nossa seleção! Que venha mais uma,https://www.instagram.com/p/DaLk7GBJN1h/
18103664563847547,2026-06-29,REELS,172,23,195,,SANTA CATARINA MERECE RESPEITO! 👊🇧🇷 Santa Catarina é,https://www.instagram.com/reel/DaK_pNiAD9b/
17895087366481685,2026-06-28,REELS,764,32,796,,A BARRA DO CAMACHO PRECISA DE SOLUÇÃO! 🌊 O problema da,https://www.instagram.com/reel/DaIYzmCga4k/
18209086777343526,2026-06-27,REELS,68,0,68,,BRASIL UNIDO 🇧🇷 Como é bom ver os brasileiros unidos ,https://www.instagram.com/reel/DaGkjRtwaTX/
18115462960677247,2026-06-25,REELS,81,4,85,,"MENOS CONTA, MAIS SAÚDE! ☀️🏥 Imagine transformar o gas",https://www.instagram.com/reel/DaBaTfRJPmA/
18072390290361291,2026-06-24,FEED,77,2,79,,"FORÇA, RAÍZES E EXCELÊNCIA Três mulheres. Três história",https://www.instagram.com/p/DZ_LMJBjW0M/
17862008265649774,2026-06-23,REELS,195,11,206,,"FIM DA ESPERA! 🌉✅ Depois de mais de 20 anos de espera,",https://www.instagram.com/reel/DZ7sV1TgI_m/
17976995463024359,2026-06-22,REELS,69,8,77,,QUE HONRA! ✨🚀 Cidade que me acolhe e me relembra os va,https://www.instagram.com/reel/DZ5svByBpuC/
18044851532787271,2026-06-21,FEED,149,25,174,,FOI LINDO! ✨🚀 Mais de 400 lideranças de todas as regiõ,https://www.instagram.com/p/DZ2lzp1ADtR/
18119722759752639,2026-06-19,REELS,95,8,103,,O BRASIL ENTRA EM CAMPO. QUEM GANHA É A NOSSA REGIÃO 🇧,https://www.instagram.com/reel/DZxrSvfMEvq/
17930958552101291,2026-06-18,FEED,243,26,269,,Hoje é um dia de gratidão e orgulho. Receber o Título H,https://www.instagram.com/p/DZvq12pAzO1/
18083640998403325,2026-06-18,REELS,270,50,320,,🔥 FORÇA. UNIÃO. RESULTADOS. Que noite especial! Mais d,https://www.instagram.com/reel/DZtNrd1tou9/
17863830918633197,2026-06-15,REELS,256,28,284,,ABRINDO CAMINHO! 🚧 Uma obra que representa muito mais ,https://www.instagram.com/reel/DZnWAjJhOVa/
18057262370732085,2026-06-13,REELS,116,9,125,,MEU PALPITE TÁ AÍ! 🇧🇷 O Brasil entra em campo… e aqui,https://www.instagram.com/reel/DZiTR5cu6-s/
18080731637642171,2026-06-10,REELS,149,7,156,,🚒 SEGURANÇA QUE FICA PARA O FUTURO Mais uma importante,https://www.instagram.com/reel/DZayE7cAE8M/
18365618287224538,2026-06-08,REELS,138,8,146,,🏗️💙 MAIS ESPAÇO. MAIS INCLUSÃO. MAIS FUTURO. As novas,https://www.instagram.com/reel/DZVXanCP3zk/
18078062003399096,2026-06-07,FEED,190,9,199,,🎉🌽 TEMPO DE FESTA JUNINA! Chegou uma das épocas mais ,https://www.instagram.com/p/DZSpoECPRhN/
18075823358669442,2026-06-04,REELS,279,21,300,,🍝🇮🇹 LA BELLA POLENTA! 🇮🇹🍝 Tem sabores que aliment,https://www.instagram.com/reel/DZK3rAIAXMM/
17898516051305004,2026-06-01,REELS,595,37,632,,🇧🇷 O BRASIL PRECISA VOLTAR A ENSINAR VALORES Estamos ,https://www.instagram.com/reel/DZDNYkdgMZL/
18140189095472938,2026-05-30,FEED,178,16,194,,JUDÔ E VALORES 🥋❤️ O esporte ensina muito mais do que ,https://www.instagram.com/p/DY946lRgCGN/
