"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Curtidas,Compartilhamentos,Comentários,Salvamentos,Alcance,Seguimentos
18066972350364107,17841401444333135,pepecollaco,"Pepê Collaço","“Made in China” AQUI É MADE IN BRASIL!!!🇧🇷⚡

A EIKTO, instalada em Laguna, começou com boa parte da produção vindo de fora. Agora, o cenário já mudou: peças, estrutura e etapas da fabricação passam a ser feitas no Brasil e a tendência é nacionalizar cada vez mais a produção.

O crescimento também impressiona: a empresa já chegou a 100 empregos e agora vai ampliar para 150 colaboradores, além de iniciar a produção de baterias para caminhões em Santa Catarina saindo da nossa Laguna. 🚛

É desenvolvimento, tecnologia e oportunidade chegando pra nossa região. Porque quando a indústria cresce aqui, o futuro também fica aqui. 🚀",73,"05/18/2026 05:54",https://www.instagram.com/reel/DYewg67grRe/,"Reel do Instagram",,Total,14892,209,19,8,4,17244,6
17897901354450290,17841401444333135,pepecollaco,"Pepê Collaço","MAIS QUALIDADE DE VIDA! 🚧👏

A Rua do Teixaco, em Braço do Norte, vai receber uma importante melhoria para a população: a retirada da lajota antiga para dar lugar ao asfalto! 🙌

Uma obra aguardada há muito tempo pelos moradores e que vai trazer mais conforto, segurança e mobilidade para quem passa diariamente pela região. 🛣️🚗

Menos poeira.
Menos transtorno.
Mais desenvolvimento para a comunidade. 💪

Parabéns ao vereador @demetrio_reginaldo pela luta e por estar sempre ouvindo as demandas da população. Seguimos trabalhando juntos para melhorar cada vez mais Braço do Norte! 🤝

Acompanhe nosso trabalho e compartilhe essa conquista! ✅

#PepeCollaço #BraçoDoNorte #RuaDoTeixaco #Infraestrutura #Asfalto Mobilidade SulDeSC SantaCatarina CompromissoComAsPessoas DesenvolvimentoRegional",58,"05/22/2026 08:35",https://www.instagram.com/reel/DYpVlVOAFlj/,"Reel do Instagram",,Total,7954,102,18,7,1,8401,3
17877883797599644,17841400657173502,cleinils.rodriguesdasilva,"Clei Rodrigues","Um sonho antigo da comunidade da Várzea das Canoas começa, oficialmente, a sair do papel! 🚧✨

Foi assinada a ordem de serviço para a tão esperada pavimentação asfáltica da comunidade, marcando um novo capítulo de desenvolvimento, mobilidade e qualidade de vida para os moradores.

Mais do que uma obra, este é um compromisso sendo cumprido, uma conquista construída com diálogo, trabalho e dedicação. Agradeço ao governo do Estado, aos deputados @deputadozemilton e @pepecollaco que muito nos ajudaram, ao @viceprefeito_marcoscorrea que está comigo nesta jornada, aos membros da equipe e todos que participaram para que esse sonho virasse realidade. 

Hoje, entrego ao Seu João Izidorio essa alegria, representando todos da comunidade. 

A Várzea das Canoas vai viver uma nova realidade. E esse é só o começo! 💙🙌",77,"05/23/2026 10:34",https://www.instagram.com/reel/DYsIjMVxPyv/,"Reel do Instagram",,Total,6361,158,19,5,0,,
18163721599429965,17841401444333135,pepecollaco,"Pepê Collaço","FORTALECENDO NOSSAS RAÍZES 🌾✨

Que alegria participar dessa linda feira agropecuária em Tubarão! 🙌
Um evento cheio de tradição, trabalho, cultura e pessoas que fazem a nossa região crescer todos os dias.

Foi muito gratificante acompanhar de perto a dedicação dos expositores, o talento do nosso artesanato e a força do comércio local. 👏🧑‍🌾

Eventos como esse movimentam a economia, valorizam quem produz e fortalecem ainda mais o desenvolvimento da nossa região. 💪

Parabéns a todos os envolvidos por proporcionarem um momento tão especial, bonito e acolhedor. Foi realmente muito legal fazer parte disso! 🚜🐄🌽

Vamos seguir valorizando quem trabalha, empreende e mantém viva a essência do nosso interior. ❤️

#FeiraAgropecuária #Tubarão #Agronegócio #Artesanato #ComércioLocal DesenvolvimentoRegional SantaCatarina PepêCollaço TradiçãoECrescimento",0,"05/24/2026 15:07",https://www.instagram.com/p/DYvNMOEAP9N/,"Carrossel do Instagram",,Total,5384,109,5,2,2,2158,1
18009298289863585,17841401444333135,pepecollaco,"Pepê Collaço","Tem coisa que só quem é Catarina compreende. E a gente tem orgulho de ser assim, né!

E você, é catarinense demais para…?

#SantaCatarina #OrgulhoCatarinense",0,"05/26/2026 08:59",https://www.instagram.com/p/DYzsqQ2gO3n/,"Carrossel do Instagram",,Total,5519,74,22,15,0,2594,0
18108383446913089,17841401444333135,pepecollaco,"Pepê Collaço","156 anos de uma cidade feita por gente forte. ❤️

Tubarão já enfrentou desafios que marcaram sua história. E foi justamente nesses momentos que mostrou sua maior qualidade: a força do seu povo.

Uma cidade que cresce no trabalho, no comércio, no desenvolvimento e no cuidado com as pessoas.

Nosso mandato tem orgulho de fazer parte dessa construção, com investimentos em infraestrutura, mobilidade, inclusão e apoio às instituições que fazem a diferença todos os dias na vida de tantas famílias.

Parabéns, Tubarão, pelos seus 156 anos.
Tenho orgulho de ser daqui. E ainda mais orgulho de trabalhar por essa cidade.

#Tubarão156Anos #TubarãoSC #OrgulhoDeSerTubaronense #CidadeAzul #SulDeSC",0,"05/27/2026 05:15",https://www.instagram.com/p/DY130ZBAG5i/,"Carrossel do Instagram",,Total,2321,59,8,7,1,1187,0
18591510112014083,17841401444333135,pepecollaco,"Pepê Collaço","Feliz aniversário, Tubarão! 💙

São 156 anos de uma cidade cheia de história, força, cultura e orgulho.

Hoje celebramos tudo aquilo que faz de Tubarão uma cidade tão especial: o trabalho, a união, a coragem e o jeito acolhedor do povo tubaronense.

Parabéns, Cidade Azul! Que essa história siga sendo escrita com desenvolvimento, cuidado e muito amor por Tubarão.",43,"05/27/2026 17:05",https://www.instagram.com/reel/DY3I1OGMHrm/,"Reel do Instagram",,Total,23925,973,35,21,8,13102,10
17864449188629223,17841401444333135,pepecollaco,"Pepê Collaço","ONDE A DONA ALZA FALOU, TÁ FALADO! 🚜🛣️

Mais uma conquista importante para Gravatal! 🙌

A comunidade da Várzea das Canoas vai receber mais de 2 quilômetros de asfalto, transformando uma estrada histórica em uma importante ligação para o desenvolvimento de Gravatal.

Essa é uma parceria construída com trabalho e união: ao lado do deputado estadual Zé Milton, do prefeito Clei e de tantas lideranças da comunidade, estamos tirando esse projeto do papel. 🤝

Além de melhorar a mobilidade e a segurança, a obra vai fortalecer o crescimento da região, gerar oportunidades e conectar ainda mais as pessoas.

Quando a comunidade participa e aponta o caminho, o resultado aparece! 💪

Acompanhe nosso trabalho e compartilhe essa conquista! 🚀

#Gravatal #VarzeaDasCanoas #Infraestrutura #DesenvolvimentoRegional #PepeCollaco ZeMilton SantaCatarina TrabalhoQueDaResultado",75,"05/29/2026 13:05",https://www.instagram.com/reel/DY72zyzOl2L/,"Reel do Instagram",,Total,5682,86,30,4,2,3757,1
18140189095472938,17841401444333135,pepecollaco,"Pepê Collaço","JUDÔ E VALORES 🥋❤️

O esporte ensina muito mais do que técnica. Ensina disciplina, respeito, perseverança e confiança.

É uma alegria ver a Lelê se desenvolvendo no judô, aprendendo a cada treino e construindo valores que vai levar para a vida toda.

Como pai, não tem satisfação maior do que acompanhar esse crescimento e incentivar hábitos que fazem bem para o corpo, para a mente e para o futuro.

Que cada vez mais crianças tenham a oportunidade de descobrir no esporte um caminho de aprendizado e superação. 💪✨

#Judô #EsporteÉEducação #Família #Disciplina #Respeito SantaCatarina",0,"05/30/2026 07:59",https://www.instagram.com/p/DY946lRgCGN/,"Carrossel do Instagram",,Total,3719,148,1,14,0,1426,0
18082004774518305,17841401444333135,pepecollaco,"Pepê Collaço","🎉 FÉ, FORÇA, FUTURO
Que 2026 seja o ano em que a esperança se transforma em conquistas e a união faz a diferença na vida de todos! 🌟

Com gratidão por tudo que construímos juntos até aqui, desejo um novo ciclo repleto de saúde, amor, paz e realizações para você e sua família. 🙌💙

Vamos seguir firmes, trabalhando por um estado mais justo, inclusivo e com oportunidades para todos os catarinenses. 🚜🏥📚

Feliz Ano Novo! 🎇

🔁 Comente o que você deseja para 2026 e acompanhe nossas ações por Santa Catarina!

#BoasFestas #Feliz2026 #SantaCatarina #PepêCollaço #PolíticaComPropósito ViradaDoAno TrabalhoQueTransforma",0,"12/31/2025 10:50",https://www.instagram.com/p/DS8EHVSgDVl/,"Imagem do Instagram",,Total,5143,39,13,5,0,3192,0
18111932266559003,17841401444333135,pepecollaco,"Pepê Collaço","🇻🇪 VENEZUELA: DO OURO NEGRO À CRISE HUMANITÁRIA 🛢️🔥

Já foi chamada de “Suíça da América Latina”, com uma economia pujante, padrão de vida alto e as maiores reservas de petróleo do mundo. 💸

Mas o que era prosperidade virou fome, migração em massa e caos institucional. O que aconteceu?

👉 De aliado cultural e econômico dos EUA, a Venezuela mergulhou num regime autoritário com o chavismo.

❌ Nacionalizações mal planejadas, corrupção, populismo e alianças perigosas com ditaduras tudo isso transformou um país rico em uma tragédia anunciada.

💥 E por trás de discursos sobre liberdade, há também interesses internacionais por petróleo, ouro e posição estratégica.
Geopolítica não tem mocinho… tem disputa por poder.

📲 Deslize o carrossel e entenda como um país pode perder décadas de avanço em poucos anos.

#Geopolítica #Venezuela #Chavismo #CriseHumanitária #Petróleo PoderGlobal HistóriaRecente ConsciênciaPolítica Populismo AmericaLatina ReelsEducativo DepPepeExplica",0,"01/04/2026 09:30",https://www.instagram.com/p/DTGOIhkgN1D/,"Carrossel do Instagram",,Total,12310,85,19,18,2,6095,0
