"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,Comentários,Salvamentos
18082004774518305,17841401444333135,pepecollaco,"Pepê Collaço","🎉 FÉ, FORÇA, FUTURO
Que 2026 seja o ano em que a esperança se transforma em conquistas e a união faz a diferença na vida de todos! 🌟

Com gratidão por tudo que construímos juntos até aqui, desejo um novo ciclo repleto de saúde, amor, paz e realizações para você e sua família. 🙌💙

Vamos seguir firmes, trabalhando por um estado mais justo, inclusivo e com oportunidades para todos os catarinenses. 🚜🏥📚

Feliz Ano Novo! 🎇

🔁 Comente o que você deseja para 2026 e acompanhe nossas ações por Santa Catarina!

#BoasFestas #Feliz2026 #SantaCatarina #PepêCollaço #PolíticaComPropósito ViradaDoAno TrabalhoQueTransforma",0,"12/31/2025 10:50",https://www.instagram.com/p/DS8EHVSgDVl/,"Imagem do Instagram",,Total,5155,3197,39,13,0,5,0
18144976942459473,17841401444333135,pepecollaco,"Pepê Collaço","Ano corrido de muito trabalho, confere aí o que a Siri trouxe pra gente! 💫🚀",80,"12/30/2025 13:48",https://www.instagram.com/reel/DS5ziPvga64/,"Reel do Instagram",,Total,7227,11520,136,25,1,21,0
18028989764579230,17841401444333135,pepecollaco,"Pepê Collaço","UM ANO INTEIRO DE ENTREGA 🚀

Foram 12 meses de correria, de estrada, de reunião, de projeto, de votação, de escuta, de presença.
Trabalhamos muito. Muito mesmo.
Na capital, no interior, nas comissões, nas causas sociais.

Nem sempre foi fácil, mas foi inteiro.
Cada pauta defendida com alma.
Cada conquista celebrada com responsabilidade.

Encerramos o ano com o coração leve e a certeza de que entregamos tudo com garra, compromisso e propósito. 💙

Seguimos firmes. Porque Santa Catarina merece mais.

👉 Acompanhe nosso trabalho em 2026!
#Retrospectiva #TrabalhoDeVerdade #PepêCollaço #SantaCatarina #MandatoPresente Infraestrutura Inclusão DefesaDosDireitos",0,"12/27/2025 11:44",https://www.instagram.com/p/DSx3HdPAVKa/,"Carrossel do Instagram",,Total,7124,3690,86,24,0,10,2
18112332415617894,17841401444333135,pepecollaco,"Pepê Collaço","Que o Natal renove a fé, fortaleça a esperança e encha nossos lares de paz e união.
Desejo um Feliz Natal a você e à sua família. 🎄✨",0,"12/25/2025 05:01",https://www.instagram.com/p/DSr_dCWAJJG/,"Imagem do Instagram",,Total,5287,3182,120,12,0,11,0
17985751028920583,17841401444333135,pepecollaco,"Pepê Collaço","FELIZ NATAL 🎁 

✨🎄 O Natal é tempo de sentir, agradecer e estar junto.
Entre o cheirinho de milho, as luzes da cidade e o calor das famílias, que este seja um momento de renascimento, fé e união.

Que o Natal ilumine nossos lares e nossos caminhos.
Feliz Natal! ✨🎄",45,"12/24/2025 05:28",https://www.instagram.com/reel/DSpdWgmgM_n/,"Reel do Instagram",,Total,23675,17685,209,89,2,11,3
18068490251129438,17841401444333135,pepecollaco,"Pepê Collaço","Mais um importante equipamento entregue através do nosso mandato! 💪🚜
São Martinho agora conta com uma nova pá-carregadeira, reforçando a infraestrutura e garantindo mais agilidade nos serviços para a população.

Seguimos trabalhando com responsabilidade, compromisso e resultados para quem mais precisa.

#TrabalhoQueEntrega #SãoMartinho #Infraestrutura #MandatoAtuante #CompromissoComAsPessoas ResultadoNaPrática",69,"12/23/2025 07:12",https://www.instagram.com/reel/DSnD0FWgOpD/,"Reel do Instagram",,Total,9999,23770,135,7,1,1,3
18087247814091590,17841401444333135,pepecollaco,"Pepê Collaço","🚐🚑 Mais mobilidade, mais cuidado e mais esporte para Capivari!

Entregamos novos veículos para fortalecer os serviços do município:
✅ Sprinter para a Saúde
✅ Fiorino para o Esporte
✅ Spin 7 lugares chegando em breve

Tudo isso é fruto de trabalho, parceria e compromisso com a cidade, garantindo mais estrutura para quem atende a nossa gente todos os dias.

👉 Quando a cidade é bem representada, os resultados aparecem.

#CapivariDeBaixo #TrabalhoQueEntrega #MaisSaúde #MaisEsporte #ParceriaQueFunciona RepresentaçãoQueFazADiferença",74,"12/22/2025 07:49",https://www.instagram.com/reel/DSkih7EgAn7/,"Reel do Instagram",,Total,15432,25260,157,18,0,11,2
18056475707329790,17841401444333135,pepecollaco,"Pepê Collaço","PAULO LOPES FAZ E FAZ RÁPIDO! 🚜💥

Obra boa é obra entregue, e Paulo Lopes tá dando exemplo!
Com apoio do nosso mandato, os recursos chegaram e as máquinas não pararam!

A @_feleite já inaugurou as primeiras entregas, e tem muito mais vindo aí. 💪
O compromisso com a infraestrutura da região é real.

Vamos seguir transformando o Sul de SC! 🚧
⠀
🔄 Marque quem mora na região e compartilhe essa conquista!

#PauloLopes #InfraestruturaSC #SulForte #ObraEntregue #PepêCollaço #SCLevadoASério #DeputadoEstadual #InvestimentoNoSul",51,"12/18/2025 12:59",https://www.instagram.com/reel/DSazYTEgWin/,"Reel do Instagram",,Total,6983,4142,135,15,2,10,0
17851466925603965,17841401444333135,pepecollaco,"Pepê Collaço","Formatura do 5º ano da nossa Manu 🎓
Um passo importante nessa caminhada.
Cada etapa vencida constrói quem ela está se tornando.
Que venham os próximos desafios. Seguimos orgulhosos de você. 💙",0,"12/17/2025 17:18",https://www.instagram.com/p/DSYtcYyjQAo/,"Carrossel do Instagram",,Total,9289,2976,246,3,1,7,2
18090272131947063,17841400410190850,juliazanattasc,"Júlia Zanatta","Eu e o deputado Pepe Colaço @pepecollaco expusemos as mentiras do prefeito de Laguna, o Pinóquio Pretto Crippa, que foi convidado a se retirar do PL por suas práticas de contratar petista e comunista.",692,"12/16/2025 09:32",https://www.instagram.com/reel/DSVTPHGDV-A/,"Reel do Instagram",,Total,55686,42245,6661,186,30,299,0
17900946378183500,17841466474279834,amarufino01,amarufino,"Em comemoração ao aniversário de Rio Rufino, celebrado ontem, a festa aconteceu hoje reunindo a comunidade em um momento especial. O evento, realizado com a presença do prefeito do município e da primeira-dama,  a presidente da AMA foi representa a instituição e a assessora do deputado Pepê Collaço, que esteve representando o parlamentar nesta importante comemoração. Uma data marcada pela união, alegria e pelo compromisso com o desenvolvimento de Rio Rufino. 🎉🤍
@prefeiturariorufinooficial 
@ademarsartor11 
@dilamarsartor 
@va.nessa599 
@katsumilages 
@pepecollaco",0,"12/13/2025 11:58",https://www.instagram.com/p/DSN1ol7AbBz/,"Imagem do Instagram",,Total,9883,4487,86,1,0,5,0
18041347547509612,17841400535235628,brubrunelcollaco,"Bruna Brunel Collaço","Hoje o dia amanheceu mais colorido porque é seu aniversário meu amor!
Há 7 anos, você enche nossas vidas de alegria e amor! 
Que você continue sendo essa menina cheia de atitudes, determinada, decidida e corajosa! 
Que nunca lhe falta amor, saúde, brincadeiras e momentos felizes em seu caminho! 
Te amamos muito! 
Parabéns pelo seu dia, nossa Lelê!! ❤️",0,"12/13/2025 08:04",https://www.instagram.com/p/DSNa4EkDjLAIOt1Nfz5SA38HaRCUYI4riZ8rTk0/,"Carrossel do Instagram",,Total,4621,1404,95,0,0,12,0
18085070561091263,17841401444333135,pepecollaco,"Pepê Collaço","💥 Capivari de Baixo segue avançando — e o trabalho não para!
Revitalização de ruas, investimento na APAE, novos veículos para a saúde e o esporte, mais recursos para recuperar as vias da cidade… tudo isso pensando em você e no futuro que estamos construindo juntos. 💙

🔥 Quando a gente investe certo, a cidade inteira ganha.

#CapivariDeBaixo #Avanço #TrabalhoPresente #MaisInvestimentos #CidadeQueCresce",66,"12/10/2025 08:59",https://www.instagram.com/reel/DSFyT4-AMnE/,"Reel do Instagram",,Total,23360,28823,239,12,3,9,3
18004741538824226,17841401444333135,pepecollaco,"Pepê Collaço","SAÚDE MENTAL IMPORTA 🧠✨

Hoje, o deputado Felippe Collaço entregou uma moção de reconhecimento ao CRP-SC (12ª Região), valorizando o trabalho essencial dos profissionais da Psicologia no enfrentamento dos desafios da saúde mental em Santa Catarina.

Reconhecer, apoiar e fortalecer quem cuida das pessoas também é compromisso público 🤝💙",0,"12/09/2025 13:38",https://www.instagram.com/p/DSDt14cAY1N/,"Imagem do Instagram",,Total,13156,5239,149,6,2,0,0
18089584849980708,17841401444333135,pepecollaco,"Pepê Collaço","🏅 Reconhecimento a quem faz a diferença em Santa Catarina

Na noite desta segunda-feira, a Alesc concedeu a Comenda do Legislativo Catarinense, a mais alta honraria do Parlamento estadual, a personalidades que contribuem de forma concreta para o desenvolvimento do nosso estado.

Entre os homenageados, destaque para Arilton Francisconi Cândido, o Xela, ex-prefeito de 13 de Maio, empresário, líder cooperativista e presidente da Cooperativa de Energia Coorsel. Uma trajetória marcada pelo trabalho, pela geração de oportunidades e pelo compromisso com o crescimento da região sul de Santa Catarina.

Um reconhecimento que vai além do cargo ou da função: celebra quem transforma realidades todos os dias. 👏

#ComendaDoLegislativo #Alesc #SantaCatarina #Reconhecimento #Coorsel #EnergiaQueMove #DesenvolvimentoRegional",71,"12/08/2025 17:41",https://www.instagram.com/reel/DSBkZbqDSpV/,"Reel do Instagram",,Total,13099,8775,313,24,7,8,1
