data,hora,redes,tipo,link,link_facebook,curtidas,comentarios,engajamento,compartilhamentos,salvamentos,alcance,visualizacoes,novos_seguidores,id_instagram,id_facebook,legenda
2026-08-31,20:34,facebook+instagram,REELS,https://www.instagram.com/reel/Dct9JBJhvHh/,https://www.facebook.com/reel/897157143189796/,202,30,232,2,,,,,17906396631533642,864936030306107_1431573498785885,"🎯 O NOSSO MANDATO PRIORIZA A INCLUSÃO E CUIDA DE CADA OPORTUNIDADE.

Apoiar a equoterapia, o esporte e projetos de inclusão é abrir caminhos para que mais crianças desenvolvam autonomia, confiança e qualidade de vida. 💙

🤝 É assim que o mandato transforma apoio em oportunidade.
🔰  O trabalho continua.
🚀 Investir no desenvolvimento de uma criança é acreditar no seu futuro.

1️⃣1️⃣2️⃣2️⃣3️⃣✅

#QuemFazRepresenta #PepêCollaço #Inclusão #11223

PROPAGANDA ELEITORAL: ELEIÇÕES 2026 - DEPUTADO ESTADUAL PEPÊ COLLAÇO - CNPJ 68.472.001/0001-72"
2026-08-30,21:13,facebook+instagram,FEED,https://www.instagram.com/p/DcrcuikvFY-/,https://www.facebook.com/1394493682493867/posts/1430804262196142,95,6,101,5,,,,,18090853964279802,864936030306107_1430804262196142,"🤝 Tenho orgulho de fazer política estando perto de quem vive a realidade de cada cidade.

🫡 É ouvindo, acompanhando de perto e trabalhando que a gente transforma demandas em entregas.

🚀 Foi assim que o nosso mandato chegou além da nossa região: chegando de verdade na vida do catarinense, em todos os cantos de Santa Catarina.

Do Sul para todo o Estado. #QuemFazRepresenta 💙

1️⃣1️⃣2️⃣2️⃣3️⃣ ✅

#SantaCatarina #DeputadoEstadual #TrabalhoQueTransforma

PROPAGANDA ELEITORAL: ELEIÇÕES 2026 - DEPUTADO ESTADUAL PEPÊ COLLAÇO - CNPJ 68.472.001/0001-72"
2026-08-29,21:49,instagram,REELS,https://www.instagram.com/reel/Dco70RuPWy6/,,191,14,205,,,,,,17986130484026744,,"Forquilhinha vai ganhar uma estrutura à altura das famílias da comunidade! 💙

🎯 Uma supercreche com 14 salas está chegando para ampliar o atendimento, oferecer mais espaço e contribuir para o desenvolvimento das nossas crianças.

🚀 É investimento que olha para o presente, mas principalmente para o futuro. Mais estrutura para a educação, mais tranquilidade para as famílias e uma comunidade cada vez melhor preparada para crescer.

Seguimos trabalhando por Santa Catarina! 🤝

1️⃣1️⃣2️⃣2️⃣3️⃣✅

#PepeCollaço #Educação #Forquilhinhas #SantaCatarina #TrabalhoQueFazAcontecer

PROPAGANDA ELEITORAL: ELEIÇÕES 2026 - DEPUTADO ESTADUAL PEPÊ COLLAÇO - CNPJ 68.472.001/0001-72"
2026-08-29,15:58,facebook+instagram,FEED,https://www.instagram.com/p/DcoTtVNgXRi/,https://www.facebook.com/1394493682493867/posts/1429827725627129,176,19,195,7,,,,,17885135871614150,864936030306107_1429827725627129,"🤝 Estar perto das pessoas é também uma forma de entender melhor a realidade de cada comunidade. 

🎯 Tenho o compromisso de estar presente, ouvir, conversar e conhecer de perto as diferentes histórias e necessidades dos catarinenses. É dessa proximidade que surgem ideias, compromissos e caminhos para transformar a realidade.

🫡 Sigo percorrendo Santa Catarina, dialogando com as pessoas e acompanhando de perto o nosso estado.

#PepeCollaço #SantaCatarina #Catarinenses #Presença #Compromisso Trabalho

PROPAGANDA ELEITORAL: ELEIÇÕES 2026 - DEPUTADO ESTADUAL PEPÊ COLLAÇO - CNPJ 68.472.001/0001-72"
2026-08-28,22:29,facebook+instagram,REELS,https://www.instagram.com/reel/DcmbKxwOw7I/,https://www.facebook.com/reel/1491639782768852/,396,91,487,4,,,,,18478698850105927,864936030306107_1429237035686198,"🎯 Nosso mandato sempre esteve em movimento: ouvindo demandas, acompanhando de perto, visitando municípios e trabalhando junto com a equipe para transformar cada agenda em ação.

🫂 Está sendo gratificante ver tanta gente confiando no nosso trabalho e votando para construir uma Santa Catarina cada vez melhor! 💙

📍 Um mandato presente.
🤝 Um trabalho feito por muitas mãos.
🗺️ Um compromisso que percorre Santa Catarina.

1️⃣1️⃣2️⃣2️⃣3️⃣✅

Quem faz, representa!

#PepêCollaço #SantaCatarina #QuemFazRepresenta

PROPAGANDA ELEITORAL: ELEIÇÕES 2026 - DEPUTADO ESTADUAL PEPÊ COLLAÇO - CNPJ 68.472.001/0001-72"
2026-08-27,16:03,facebook+instagram,REELS,https://www.instagram.com/reel/DcjKo40OMDe/,https://www.facebook.com/reel/1585249803097416/,134,16,150,,,,,,18124598080693214,864936030306107_1428172592459309,"🛣️ CUIDAR DE TUBARÃO É CUIDAR DA NOSSA GENTE.

🎯 Nos últimos anos, nosso trabalho ajudou a levar investimentos para a pavimentação de mais de 60 ruas no município. É recurso que chega, vira obra e transforma a vida das famílias.

🫡 É por isso que eu tenho orgulho de ser o deputado que cuida da nossa região, está presente nos municípios e trabalha para trazer cada vez mais recursos para o Sul de Santa Catarina.

✅ Quem faz, representa. O trabalho pelo Sul continua. 💙

1️⃣1️⃣2️⃣2️⃣3️⃣

#QuemFazRepresenta #Tubarão #SulDeSantaCatarina #PepêCollaço

PROPAGANDA ELEITORAL: ELEIÇÕES 2026 - DEPUTADO ESTADUAL PEPÊ COLLAÇO - CNPJ 68.472.001/0001-72"
2026-08-26,20:53,facebook,post,https://www.facebook.com/reel/1536347437741867/,,,,,5,,,,,,864936030306107_1427537469189488,"1️⃣1️⃣2️⃣2️⃣3️⃣ é o número de quem faz acontecer. 💙

🎶Agora tem jingle, tem santinho na camisa e tem muita gente junto nessa caminhada. 

🎯 Porque quem faz, representa.

➡️ Dia 04 de outubro, vote em quem faz e representa. 

✅ Pepe Collaço 11223.

#PepeCollaço #11223 #QuemFazRepresenta #Sul #SC"
2026-08-26,20:53,instagram,REELS,https://www.instagram.com/reel/DchHVVIs7h_/,,303,33,336,,,,,,18068251262729549,,"1️⃣1️⃣2️⃣2️⃣3️⃣ é o número de quem faz acontecer. 💙

🎶Agora tem jingle, tem orgulho colado no peito e tem muita gente junto nessa caminhada. 

🎯 Porque quem faz, representa.

➡️ Dia 04 de outubro, vote em quem faz e representa. 

✅ Pepe Collaço 11223.

#PepeCollaço #11223 #QuemFazRepresenta #Sul #SC

PROPAGANDA ELEITORAL: ELEIÇÕES 2026 - DEPUTADO ESTADUAL PEPÊ COLLAÇO - CNPJ 68.472.001/0001-72"
2026-08-26,15:43,facebook+instagram,REELS,https://www.instagram.com/reel/Dcgj16OOhgF/,https://www.facebook.com/reel/2136323130645868/,189,24,213,3,,,,,17953749510230558,864936030306107_1427356209207614,"🎯 Bairro por bairro, Capivari inteira atendida.

🫡 Foram mais de R$ 7,5 milhões destinados ao município, em ações que chegaram à saúde, APAE, esporte, infraestrutura e entidades.

📌 Não foi uma obra. Foi trabalho pela cidade inteira. #QuemFazRepresenta

🚀 O trabalho continua.Vem com Pepê. 

1️⃣1️⃣2️⃣2️⃣3️⃣✅

#CapivariDeBaixo #PepêCollaço #SantaCatarina

PROPAGANDA ELEITORAL: ELEIÇÕES 2026 - DEPUTADO ESTADUAL PEPÊ COLLAÇO - CNPJ 68.472.001/0001-72"
2026-08-26,00:25,facebook+instagram,FEED,https://www.instagram.com/p/Dce6hBdtoVv/,https://www.facebook.com/1394493682493867/posts/1426816189261616,266,21,287,10,,,,,17878623087524284,864936030306107_1426816189261616,"CHEGOU A NOSSA VEZ!!! 

Que felicidade chegar em Morro da Fumaça e encontrar todo esse agito! 💙

Foi uma noite incrível, daquelas que fazem a gente sentir o gostinho da campanha e a energia das ruas.

Agora bora fazer parte também: vem fazer parte desse time! 🚙💨"
2026-08-25,14:56,facebook,post,https://www.facebook.com/1394493682493867/posts/1426488749294360,,,,,3,,,,,,864936030306107_1426488749294360,"👀 Arraste pro lado e confira tudo aquilo que já saiu do papel e hoje já faz parte da vida dos catarinenses.

🫡 Foi uma honra ter a confiança de vocês para trabalhar por uma Santa Catarina melhor e ver esse trabalho se transformar em ações, investimentos e resultados que fazem a diferença.

➡️ Mas o trabalho continua. Vote com conhecimento e responsabilidade!

🎯 Se você acredita em uma SC mais inclusiva, com mais oportunidades, mobilidade e qualidade de vida, escolha quem mais representa os catarinenses.

🗳️ Para continuar fazendo e representando, vote 11223.

#QuemFazRepresenta #TrabalhoQueTransforma #DeputadoEstadual #SantaCatarina"
2026-08-25,14:56,instagram,FEED,https://www.instagram.com/p/Dcd5xKPEa5V/,,125,18,143,,,,,,18488664322096674,,"👀 Arraste pro lado e confira tudo aquilo que já saiu do papel e hoje já faz parte da vida dos catarinenses.

🫡 É uma honra ter a confiança de vocês para trabalhar por uma Santa Catarina melhor e ver esse trabalho se transformar em ações, investimentos e resultados que fazem a diferença.

➡️ O trabalho continua. Vote com conhecimento e responsabilidade!

🎯 Se você acredita em uma SC mais inclusiva, com mais oportunidades, mobilidade e qualidade de vida, escolha quem mais representa os catarinenses.

🗳️ Para continuar fazendo e representando, vote 11223.

#QuemFazRepresenta #TrabalhoQueTransforma #DeputadoEstadual #SantaCatarina

PROPAGANDA ELEITORAL: ELEIÇÕES 2026 - DEPUTADO ESTADUAL PEPÊ COLLAÇO - CNPJ 68.472.001/0001-72"
2026-08-25,00:00,facebook+instagram,REELS,https://www.instagram.com/reel/DccTCx8tXNP/,https://www.facebook.com/reel/1579428507023409/,179,13,192,2,,,,,18128019586664080,864936030306107_1425984939344741,"🛣️ Nosso mandato está por todos os cantos de SC!

🤝 Voltar a uma estrada em Urubici e ver de perto o resultado de um trabalho que saiu do papel através de recurso do nosso mandato é motivo de orgulho e compromisso com quem vive aqui.

Pepe é trabalho. Pepe é compromisso. Pepe é resultado.

🗣️ QUEM FAZ, REPRESENTA!

👉 Conto com o seu voto para continuarmos avançando juntos!

1️⃣1️⃣2️⃣2️⃣3️⃣✅

#PepeCollaço #Urubici #MaisQualidadeMaisMobilidade #TrabalhoECompromisso

PROPAGANDA ELEITORAL: ELEIÇÕES 2026 - DEPUTADO ESTADUAL PEPÊ COLLAÇO - CNPJ 68.472.001/0001-72"
2026-08-24,22:29,facebook,post,https://www.facebook.com/reel/1449590937044101/,,,,,5,,,,,,864936030306107_1425944416015460,"Mais qualidade, mais mobilidade. 🛣️

🎯Voltar a uma estrada em Urubici e ver de perto o resultado de um trabalho que saiu do papel através de recurso do nosso mandato é motivo de orgulho e compromisso com quem vive aqui.

Pepe é trabalho. Pepe é compromisso. Pepe é resultado.

🗣️ QUEM FAZ, REPRESENTA!

👉 Conto com o seu voto para continuarmos avançando juntos!

1️⃣1️⃣2️⃣2️⃣3️⃣✅

#PepeCollaço #Urubici #QuemFazRepresenta #TrabalhoECompromisso"
