"LOCAL","AREA","ENTREGA/PROJETO","VALOR","FONTE","MATERIA","POST","STATUS","OBSERVACAO","area_manual","publicar"
"Entre Rios","Social, esporte e lazer","VEÍCULO PARA SECRETARIA DE AGRICULTURA","0.00","emendas#544","","","PRONTO","","","sim"
"Zortéa","Saúde e assistência social","AQUISIÇÃO DE VEÍCULO PARA SAÚDE","150000.00","emendas#543","","","PUBLICADO","","","sim"
"Urupema","Infraestrutura e obras","Pavimentação de vias urbanas no Município","200000.00","emendas#542","","","AGUARDANDO PORTARIA","","","sim"
"São José","Autismo (TEA)","Aquisição e implantação de sala sensorial para atendimento educacional","100000.00","emendas#541","","","AGUARDANDO PORTARIA","","","sim"
"São José","Segurança","Aquisição de um veículo automotor destinado à Guarda Municipal","100000.00","emendas#540","","","AGUARDANDO PORTARIA","","","sim"
"Rio Rufino","Outros","Aquisição de combustível para manutenção das atividades da Secretaria Municipal de Obras","100000.00","emendas#539","","","AGUARDANDO PORTARIA","","","validar"
"Rio Rufino","Outros","Custeio de despesas com combustível para a Secretaria Municipal de Obras","200000.00","emendas#538","","","AGUARDANDO PORTARIA","","","validar"
"Ponte Alta do Norte","Infraestrutura e obras","Aquisição de um Rolo Compactador","200000.00","emendas#537","","","PUBLICADO","","","sim"
"Ponte Alta do Norte","Infraestrutura e obras","Manutenção das estradas do Município","100000.00","emendas#536","","","AGUARDANDO PORTARIA","","","sim"
"Lages","Entidades","AQUISIÇÃO DE VEÍCULO PARA O CENTRO DE BEM-ESTAR ANIMAL","160000.00","emendas#535","","","PUBLICADO","","","sim"
"Frei Rogério","Social, esporte e lazer","AQUISIÇÃO DE VAN PARA A SECRETARIA DE TURISMO, CULTURA E ESPORTE","400000.00","emendas#534","","","PUBLICADO","","","sim"
"Campo Belo do Sul","Social, esporte e lazer","Aquisição de equipamentos agrícolas para Secretaria Municipal de Agricultura","150000.00","emendas#532","","","PUBLICADO","","","sim"
"Bom Retiro","Infraestrutura e obras","Aquisição de Rolo Compactador e Motoniveladora","300000.00","emendas#531","","","PUBLICADO","","","sim"
"Bom Retiro","Social, esporte e lazer","Aquisição de implementos agrícolas para a Secretaria Municipal de Agricultura","150000.00","emendas#530","","","AGUARDANDO PORTARIA","","","sim"
"Tubarão","Social, esporte e lazer","Revitalização da Praça Palestina","450000.00","emendas#529","","","PUBLICADO","","","sim"
"São João do Sul","Infraestrutura e obras","Custeio Infraestrutura","250000.00","emendas#528","","","AGUARDANDO PORTARIA","","","sim"
"Sangão","Autismo (TEA)","TEA - Terapia Ocupacional e Ecoterapia","200000.00","emendas#527","","","PUBLICADO","","","sim"
"Rodeio","Infraestrutura e obras","Aquisição de materiais necessários à execução de obras de pavimentação e drenagem","150000.00","emendas#526","","","PUBLICADO","","","sim"
"Rio Negrinho","Autismo (TEA)","Investimento em recursos tecnológicos para a APAE","100000.00","emendas#525","","","AGUARDANDO PORTARIA","","","sim"
"Rio Fortuna","Saúde e assistência social","Custeio de Exames para Atendimento ás Demandas da Saúde","200000.00","emendas#524","","","PUBLICADO","","","sim"
"Orleans","Outros","Aquisição de veículo para secretaria de Administração","300000.00","emendas#523","","","PUBLICADO","","","validar"
"Lebon Régis","Entidades","Recurso para Secretaria de Assistência Social","150000.00","emendas#522","","","PUBLICADO","","","sim"
"Laguna","Infraestrutura e obras","Pavimentação de trecho com 188 metros de extensão da rua Fernando Antônio dos Santos - Perrixil","350000.00","emendas#521","","","PUBLICADO","","","sim"
"Jaguaruna","Infraestrutura e obras","Pavimentação da Rua Santa Cecília, Bairro Encruzo","150000.00","emendas#520","","","PUBLICADO","","","sim"
"Ituporanga","Infraestrutura e obras","Aquisição de Insumos para Infraestrutura da localidade de Rio Bonito e Rio dos Bugres","200000.00","emendas#519","","","PUBLICADO","","","sim"
"Imbituba","Infraestrutura e obras","Pavimentação da Rua Evaristo Lima, bairro Campo D´Aviação","300000.00","emendas#518","","","PUBLICADO","","","sim"
"Imaruí","Infraestrutura e obras","Aquisição de veículo para secretaria de Infraestrutura","200000.00","emendas#517","","","PUBLICADO","","","sim"
"Grão-Pará","Saúde e assistência social","Custeio para secretaria municipal de Saúde","300000.00","emendas#516","","","PUBLICADO","","","sim"
"Gaspar","Infraestrutura e obras","Pavimentação da Rua Paulo Reinert, bairro Santa Terezinha","400000.00","emendas#515","","","PUBLICADO","","","sim"
"Entre Rios","Entidades","Aquisição de veículo destinado ao uso exclusivo do Conselho Tutelar","146690.00","emendas#514","","","PUBLICADO","","","sim"
"Criciúma","Saúde e assistência social","Aquisição de Computadores para Secretaria Municipal de Saúde","350000.00","emendas#513","","","PUBLICADO","","","sim"
"Capivari de Baixo","Infraestrutura e obras","Melhorias no campo de futebol do bairro ilhotinha, compreendendo a implantação de sistema de iluminação e o fechamento em vidro da sede existente no local","200000.00","emendas#512","","","PUBLICADO","","","sim"
"Capivari de Baixo","Segurança","Serviços de desassoreamento e limpeza de valas de drenagem no município","300000.00","emendas#511","","","PUBLICADO","","","sim"
"Braço do Norte","Infraestrutura e obras","Pavimentação de trecho da Estrada Geral Rio Amélia","500000.00","emendas#510","","","PUBLICADO","","","sim"
"Cerro Negro","Educação e inovação","CONSTRUÇÃO DE REFEITÓRIO NO NÚCLEO MUNICIPAL CONSTÂNCIO JOSÉ DA SILVA","200000.00","emendas#502","","","PUBLICADO","","","sim"
"Capivari de Baixo","Outros","AQUISIÇÃO DE MATERIAIS DE CONSTRUÇÃO E MATERIAIS ELÉTRICOS DESTINADOS À REFORMA, MANUTENÇÃO E ADEQUAÇÃO DOS CAMPOS DE FUTEBOL PERTENCENTES AO MUNICÍPIO","150000.00","emendas#501","","","PUBLICADO","","","validar"
"Zortéa","Infraestrutura e obras","INFRAESTRUTURA NO MUNICÍPIO - RUA ADELINA BRANCHER","200000.00","emendas#500","","","PUBLICADO","","","sim"
"Gravatal","Social, esporte e lazer","APOIO PARA O NATAL NAS ÁGUAS 2026","300000.00","emendas#499","","","PENDENTE","","","sim"
"Gravatal","Social, esporte e lazer","APOIO PARA A 2ª FESTA DAS ORIGENS DE GRAVATAL","150000.00","emendas#498","","","PENDENTE","","","sim"
"Tubarão","Entidades","CLUBE DE MÃES - Custeio das atividades","100000.00","emendas#497","","","AGUARDANDO PORTARIA","","","sim"
"Tubarão","Infraestrutura e obras","Investimento em Infraestrutura","300000.00","emendas#496","","","AGUARDANDO PORTARIA","","","sim"
"Tubarão","Outros","SERTAO DOS CORREAS - Investimento Sede Social","100000.00","emendas#495","","","AGUARDANDO PORTARIA","","","validar"
"Tubarão","Autismo (TEA)","APAE - Equoterapia e Terapia Ocupacional","400000.00","emendas#494","","","AGUARDANDO PORTARIA","","","sim"
"Treviso","Entidades","Construção Capela Mortuária","200000.00","emendas#493","","","AGUARDANDO PORTARIA","","","sim"
"Sangão","Autismo (TEA)","TEA - Equoterapia e Terapia Ocupacional","200000.00","emendas#491","","","AGUARDANDO PORTARIA","","","sim"
"Rodeio","Infraestrutura e obras","Investimentos em infraestrutura","150000.00","emendas#490","","","AGUARDANDO PORTARIA","","","sim"
"Petrolândia","Entidades","CLUBE DE MÃES - Custeio das atividades","100000.00","emendas#489","","","AGUARDANDO PORTARIA","","","sim"
"Orleans","Outros","Compra de veículo para Administração Municipal","300000.00","emendas#488","","","AGUARDANDO PORTARIA","","","validar"
"Laguna","Autismo (TEA)","APAE - Equoterapia e Terapia Ocupacional","350000.00","emendas#487","","","AGUARDANDO PORTARIA","","","sim"
