id;pagina_pdf;nome_na_apresentacao;nome_oficial_correios;bairro;cep;status;observacao
1;10;Rua Apolônia Mateus Gomes;Rua Apolônia Mateus Gomes;São Martinho;88708-716;confirmado;
2;10;Rua Arino Luiz da Silva;Rua Arino Luiz da Silva;São Cristóvão;88703-495;confirmado;
3;10;Rua das Flores;Rua das Flores;São Cristóvão;88703-108;confirmado;Nome genérico: confirmar o trecho.
4;10;Rua Jardim das Estrelas;Rua Jardim das Estrelas;São Cristóvão;88703-315;confirmado;
5;10;Rua Maurício Israel Lemos;Rua Maurício Israel Lemos;São Cristóvão;88703-110;confirmado;
6;10;Rua Santos João Anacleto da Silva;Rua Santos João Anacleto da Silva;São João (Margem Direita);88702-705;confirmado;"Consta na relação de ruas de Tubarão; CEP a confirmar."
7;10;Rua Severino Favarin;Rua Severino Favarin;São Cristóvão;88703-111;confirmado;"Existe também 'Rua Sabino Favarin' em Tubarão; não confundir."
8;10;Rua Wenceslau Alves dos Santos;Rua Wenceslau Alves dos Santos;Dehon;88704-208;confirmado;"A via tem mais de um CEP; conferir o trecho."
9;10;Rua Lorival Silveira Corrêa;Rua Lourival Silveira Correa;Sertão dos Correias;88703-662;confirmado;Correios grafam 'Lourival'.
10;10;Rua Santin David Del Sante;Rua Santin David del Sante;Sertão dos Correias;88703-663;confirmado;
11;10;Rua Pedro Isidoro da Silva;Rua Pedro Isidoro da Silva;Sertão dos Correias;88703-658;confirmado;
12;10;Rua Dilma da Costa Guimarães;Rua Dilma da Costa Guimarães;Sertão dos Correias;88703-646;confirmado;
13;10;Rua Manoel Agostinho Pereira;Rua Manoel Agostinho Pereira;São Clemente;88706-005;confirmado;Na apresentação está marcada como obra de REDE DE ESGOTO, não pavimentação.
14;10;Rua Adolfo José de Souza;Rua Adolfo Jose de Souza;São Cristóvão;88703-145;confirmado;
15;10;Rua Caruru;;;;pendente;"Existe o bairro Caruru (88707-503 a 88707-680); confirmar se a via fica lá."
16;10;Rua Dorivalda Bristot;Rua Dorivalda Bristot de Campos;São Martinho;88708-837;confirmado;
